target_name	target id	gbid	score_final	distance	homologs	homologs list	target ubiquity	copy number	Spearman correlation	p value	coevolution coefficient	antismashfile	cluster_num	cluster_type	gene_name	species	phyla	true positive	true positives homologs	score distance	score homologs	score target ubiquity	score copy number	score coevolution
Hypothetical protein yliG	DEG10180135	AZXF01000012	3	2649	1	[u'LGEC01000002']	8	1	nan	nan	1.16321879383	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/AZXF01000012/index.html	cluster-1	t1pks	ctg1_42	Nocardiopsis sp. CNT312	Actinobacteria	False	False	1	1	1	0	0
Lipoprotein releasing system ATP-binding protein lolD	DEG10180185	JWTD02000065	2	91	0	None	132	3	0.26	0.0	14.4398046354	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/JWTD02000065/index.html	cluster-1	transatpks-otherks	RM61_07845	Xanthomonas phaseoli pv. phaseoli	Proteobacteria	False	False	1	0	0	1	0
3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.60)	DEG10180156	OFDO01000063	1	456	0	None	126	1	0.37	0.0	11.4032055837	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/OFDO01000063/index.html	cluster-1	t1pks-PUFA	ctg1_1	metagenome	metagenomes	False	False	1	0	0	0	0
Glutamate aspartate transport system permease protein gltK	DEG10180115	MUYM01000075	2	6984	0	None	8	1	1.0	0.0	11.7901234568	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/MUYM01000075/index.html	cluster-1	t1pks-otherks	ctg1_20	Lentzea kentuckyensis	Actinobacteria	False	False	0	0	1	0	1
Acyl carrier protein phosphodiesterase (EC 3.1.4.14)	DEG10180241	CP033073	4	4947	4	[u'GQ452266', u'LAVK01000026', u'MH480568', u'NZ_MEHK01000001']	9	49	0.52	0.12	11.7698739158	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/CP033073/index.html	cluster-7	t1pks	D9753_04255	Streptomyces sp. Z022	Actinobacteria	False	False	1	1	1	1	0
Methyl-accepting chemotaxis protein III	DEG10180242	CP013418	2	7391	0	None	7	5	1.0	nan	7.3760738333	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP013418_1347912_1649156/index.html	cluster-2	t1pks	ctg1_121	Burkholderia sp. MSMB0266	Proteobacteria	False	False	0	0	1	1	0
Lipoprotein releasing system ATP-binding protein lolD	DEG10180185	QNRE01000007	1	8820	0	None	132	6	0.26	0.0	10.0377919026	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/QNRE01000007/index.html	cluster-1	t1pks	DFR74_107169	Nocardia puris	Actinobacteria	False	False	0	0	0	1	0
Hypothetical protein ybiA	DEG10180132	CP026121	3	7617	1	[u'NGFN01000108']	4	16	nan	nan	3.95096191029	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP026121_0_207648/index.html	cluster-1	t1pks-nrps	ctg1_49	Streptomyces sp. Go-475	Actinobacteria	False	False	0	1	1	1	0
Hypothetical protein ynfA	DEG10180264	CP011512	2	5202	1	[u'JTHO01000001']	7	1	1.0	nan	3.91426653454	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP011512_3649889_4001409/index.html	cluster-1	transatpks-otherks-nrps	ctg1_134	Paenibacillus peoriae	Firmicutes	False	False	0	1	1	0	0
Aspartyl-tRNA synthetase (EC 6.1.1.12)	DEG10180315	JWJJ01000001	3	2925	0	None	7	2	-0.5	0.67	3.30853308293	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/JWJJ01000001_1428472_1589936/index.html	cluster-1	transatpks	ctg1_111	Paenibacillus polymyxa A18	Firmicutes	False	False	1	0	1	1	0
Methionine aminopeptidase (EC 3.4.11.18)	DEG10180038	AP018288	1	8077	0	None	8	1	nan	nan	0.0	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/AP018288_985269_1286537/index.html	cluster-1	t1pks-nrps	ctg1_124	Nostoc sp. NIES-4103	Cyanobacteria	False	False	0	0	1	0	0
50S ribosomal protein L23	DEG10180504	CDLY01000001	0	8632	0	None	1	1	-1000.0	-1000.0	0.0	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CDLY01000001_3018077_3318322/index.html	cluster-1	transatpks	ctg1_120	Ralstonia solanacearum	Proteobacteria	False	False	0	0	0	0	0
Aspartyl-tRNA synthetase (EC 6.1.1.12)	DEG10180315	CP002213	2	5145	0	None	7	2	-0.5	0.67	18.1959105337	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP002213_3463535_3764848/index.html	cluster-1	transatpks-otherks-nrps	ctg1_86	Paenibacillus polymyxa SC2	Firmicutes	False	False	0	0	1	1	0
IspH protein (lytB)	DEG10180008	FZNP01000004	2	3739	0	None	7	1	0.4	0.6	0.0	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/FZNP01000004/index.html	cluster-2	t1pks-terpene-nrps	SAMN06265355_104455	Actinomadura mexicana	Actinobacteria	False	False	1	0	1	0	0
Glutamate-1-semialdehyde 2,1-aminomutase (EC 5.4.3.8)	DEG10180034	JNLT01000009	2	6	2	[u'CP015362', u'FMBW01000077']	207	1	0.47	0.0	27.9802412224	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/JNLT01000009/index.html	cluster-4	t1pks-nrps	ctg1_264	Streptomyces sp. CNS654	Actinobacteria	False	False	1	1	0	0	0
50S ribosomal protein L14	DEG10180500	QIKP01000058	1	7711	0	None	3	1	nan	nan	1.20534465452	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/QIKP01000058/index.html	cluster-1	t1pks	ctg1_31	Planctomycetaceae bacterium (hydrothermal vent metagenome)	Planctomycetes	False	False	0	0	1	0	0
Lipoprotein releasing system ATP-binding protein lolD	DEG10180185	FSRB01000001	2	200	0	None	132	19	0.26	0.0	18.5885846036	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/FSRB01000001_3934506_4431500/index.html	cluster-1	t1pks-nrps	ctg1_108	Singulisphaera sp. GP187	Planctomycetes	False	False	1	0	0	1	0
Lipoprotein releasing system ATP-binding protein lolD	DEG10180185	PYQW01000001	2	1831	0	None	132	9	0.26	0.0	6.3475177305	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/PYQW01000001/index.html	cluster-2	nrps-t1pks-arylpolyene-ladderane	C7B06_01925	Escherichia coli	Proteobacteria	False	False	1	0	0	1	0
Hypothetical protein yeaO	DEG10180305	FNKK01000002	2	4346	0	None	3	1	-1000.0	-1000.0	0.0	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/FNKK01000002_0_689475/index.html	cluster-3	t1pks	ctg1_463	Thermostaphylospora chromogena	Actinobacteria	False	False	1	0	1	0	0
(3R)-hydroxymyristoyl-[acyl carrier protein] dehydratase (EC 4.2.1.-)	DEG10180047	NUWL01000008	1	7108	0	None	41	1	0.8	0.0	17.9035067361	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/NUWL01000008/index.html	cluster-1	ladderane-t1pks-nrps	COJ17_15065	Bacillus thuringiensis	Firmicutes	False	False	0	0	0	0	1
Lipoprotein releasing system ATP-binding protein lolD	DEG10180185	NVWB01000011	1	1839	0	None	132	1	0.26	0.0	17.1000422874	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/NVWB01000011/index.html	cluster-1	transatpks-otherks-nrps	COA78_04095	Blastopirellula sp. (marine metagenome)	Planctomycetes	False	False	1	0	0	0	0
GTP cyclohydrolase II (EC 3.5.4.25)	DEG10180222	CP022685	3	8789	0	None	12	5	1.0	0.0	10.834510847	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP022685_1164472_1693240/index.html	cluster-2	lantipeptide-t1pks	ctg1_262	Streptomyces formicae	Actinobacteria	False	False	0	0	1	1	1
Glyceraldehyde 3-phosphate dehydrogenase A (EC 1.2.1.12)	DEG10180303	CP025197	1	2553	0	None	24	1	0.09	0.72	8.4150827713	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/CP025197/index.html	cluster-2	t1pks	HVS_12185	Herbivorax saccincola	Firmicutes	False	False	1	0	0	0	0
Cell division ATP-binding protein ftsE	DEG10180522	UHIB01000001	1	7574	0	None	89	9	0.46	0.0	19.0217106403	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/UHIB01000001_196916_498169/index.html	cluster-1	t1pks	ctg1_136	Legionella maceachernii (Tatlockia maceachernii)	Proteobacteria	False	False	0	0	0	1	0
Glutamate-1-semialdehyde 2,1-aminomutase (EC 5.4.3.8)	DEG10180034	FNTN01000001	3	2848	8	[u'CP021744', u'CP031455', u'FNTM01000001', u'LGUR01000002', u'LNBE01000002', u'NOKT01000011', u'PENC01000028', u'QUAC01000482']	207	3	0.47	0.0	33.7069126012	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/FNTN01000001_8933234_9813391/index.html	cluster-5	t1pks-nrps	ctg1_495	Streptomyces sp. PAN_FS17	Actinobacteria	False	False	1	1	0	1	0
Ribonuclease HI (EC 3.1.26.4)	DEG10180056	JQHM01000009	1	5536	0	None	7	1	-1000.0	-1000.0	0.0	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/JQHM01000009/index.html	cluster-1	t1pks-nrps	KP22_16040	Pectobacterium betavasculorum	Proteobacteria	False	False	0	0	1	0	0
UDP-N-acetylmuramate--alanine ligase (EC 6.3.2.8)	DEG10180020	KN050743	0	7290	0	None	1	1	-1000.0	-1000.0	0.0	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/KN050743/index.html	cluster-2	bacteriocin-t1pks	ctg1_102	Streptomyces mirabilis	Actinobacteria	False	False	0	0	0	0	0
Serine hydroxymethyltransferase (EC 2.1.2.1)	DEG10180392	KL591077	0	8667	0	None	25	1	0.41	0.02	6.01513194999	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/KL591077/index.html	cluster-1	t1pks-nrps	ctg1_109	Streptomyces sp. NRRL B-2790	Actinobacteria	False	False	0	0	0	0	0
Flagellar motor switch protein fliN	DEG10180329	NITY01000011	0	6667	0	None	1	1	-1000.0	-1000.0	0.0	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/NITY01000011/index.html	cluster-1	t1pks-nrps	Xmau_02948	Xenorhabdus mauleonii	Proteobacteria	False	False	0	0	0	0	0
Lipoprotein releasing system ATP-binding protein lolD	DEG10180185	BFBZ01000001	1	9561	0	None	132	4	0.26	0.0	18.6917839432	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/BFBZ01000001/index.html	cluster-9	t1pks-otherks	ctg1_5329	symbiont metagenome	metagenomes	False	False	0	0	0	1	0
Hypothetical protein ydiI P77781 MENI ECOLI 1,4-dihydroxy-2-naphthoyl-CoA hydrolase	DEG10180281	LNEW01000060	2	1615	0	None	4	1	nan	nan	0.0	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LNEW01000060/index.html	cluster-1	t1pks	ctg1_5	Rhodospirillales bacterium Ga0074136 (activated carbon metagenome)	Proteobacteria	False	False	1	0	1	0	0
Uid operon repressor	DEG10180271	KZ195584	1	840	0	None	1	1	-1000.0	-1000.0	0.0	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/KZ195584/index.html	cluster-1	t1pks	B9W68_29790	Streptomyces sp. CS227	Actinobacteria	False	False	1	0	0	0	0
Lipoprotein releasing system ATP-binding protein lolD	DEG10180185	NZ_LQOX01000142	0	5556	0	None	132	0	0.26	0.0	8.0002258356	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/NZ_LQOX01000142/index.html	cluster-1	t1pks	AWC07_RS23080	Mycobacterium gastri	Actinobacteria	False	False	0	0	0	0	0
Hypothetical acetyltransferase yncA (EC 2.3.1.-)	DEG10180250	QLLY01000005	1	9363	0	None	8	1	-1000.0	-1000.0	0.0	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/QLLY01000005/index.html	cluster-2	t1pks	K377_02615	Streptomyces sp. PsTaAH-137	Actinobacteria	False	False	0	0	1	0	0
Vitamin B12 transport periplasmic protein btuE	DEG10180286	RAWH01000008	1	8140	0	None	4	1	-1.0	nan	0.0	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/RAWH01000008/index.html	cluster-2	t1pks-nrps	D7X75_03105	Corallococcus sp. CA031C	Proteobacteria	False	False	0	0	1	0	0
Ribosomal large subunit pseudouridine synthase A (EC 4.2.1.70)	DEG10180012	MVHF01000003	1	6965	0	None	5	1	nan	nan	0.0	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/MVHF01000003/index.html	cluster-1	t1pks-nrps	BST13_04220	Mycobacterium aquaticum	Actinobacteria	False	False	0	0	1	0	0
