target_name	genbankid	targetid	ks_start	ks_end	arget_start	target_end	cluster_num	cluster_type	cluster_coord	cluster_len	species	phyla	count	score	copynum	genome_size	complete	antismashfile
Glutamine--fructose-6-phosphate aminotransferase [isomerizing]	QUNO01000001	sp_P17169_GLMS_ECOLI	299076	299515	307034	308851	cluster-1	t1pks-otherks	274404-324998	7519	Kutzneria buriramensis	Actinobacteria	0	-1.00	0	1025241	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/QUNO01000001_147068_453105/index.html
Peptide deformylase	KK037166	sp_P0A6K3_DEF_ECOLI	1344052	1344474	1337955	1338497	cluster-1	t1pks	1323503-1369682	5555	Kutzneria sp. 744	Actinobacteria	0	-1.00	0	11646492	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/KK037166_1195144_1496415/index.html
Serine--tRNA ligase	CP008966	sp_P0A8L1_SYS_ECOLI	3960084	3960424	3969308	3970567	cluster-1	t1pks-nrps	3897596-3983217	8884	Mycobacterium tuberculosis	Actinobacteria	0	-1.00	0	4539435	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP008966_3809912_4111178/index.html
Elongation factor Tu 1	RBIY01000001	sp_P0CE47_EFTU1_ECOLI	7908235	7908279	7911180	7912370	cluster-1	t1pks-otherks	7906940-7959012	2901	Streptomyces sp. 3212.4	Actinobacteria	0	-1.00	2	10148107	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/RBIY01000001_7784723_8085601/index.html
Acetylornithine/succinyldiaminopimelate aminotransferase	CP008982	sp_P18335_ARGD_ECOLI	1255205	1255472	1248588	1249790	cluster-2	t3pks-t1pks	1233932-1292151	5415	Mycobacterium tuberculosis	Actinobacteria	0	-1.00	0	4539435	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP008982_1105277_1412932/index.html
UDP-3-O-acyl-N-acetylglucosamine deacetylase	CP013360	sp_P0A725_LPXC_ECOLI	811511	811937	819137	820054	cluster-1	t1pks	791506-839140	7200	Burkholderia thailandensis	Proteobacteria	0	-1.00	0	3762719	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP013360_661521_962798/index.html
Elongation factor P	AP017896	sp_P0A6N4_EFP_ECOLI	1568097	1568371	1575566	1576129	cluster-1	transatpks	1501405-1580469	7195	Actinomyces sp. Chiba101	Actinobacteria	0	-1.00	0	2877864	True	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/AP017896_1323254_1846380/index.html
Acetylornithine/succinyldiaminopimelate aminotransferase	LPFP01000076	sp_P18335_ARGD_ECOLI	15886	16294	20936	22246	cluster-1	transatpks-t1pks-nrps	1-113704	4642	Burkholderia ubonensis	Proteobacteria	0	-1.00	2	340001	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LPFP01000076/index.html
Transcriptional regulatory protein WalR	KK073768	sp_Q9RDT5_WALR_STAAU	2274655	2275115	2266932	2267675	cluster-1	nrps-t1pks-otherks	2254648-2358345	6980	[Scytonema hofmanni] UTEX 2349	Cyanobacteria	0	-1.00	0	5400510	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/KK073768_2126601_2467819/index.html
Serine--tRNA ligase	BBNN01000050	sp_P0A8L1_SYS_ECOLI	32853	33203	34157	35434	cluster-1	t1pks-butyrolactone	1-45618	954	Streptomyces sp. NBRC 110035	Actinobacteria	0	-1.00	1	45618	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/BBNN01000050/index.html
Acetylornithine/succinyldiaminopimelate aminotransferase	LPFZ01000051	sp_P18335_ARGD_ECOLI	14223	14631	19273	20583	cluster-1	bacteriocin-transatpks-t1pks-nrps	1-129532	4642	Burkholderia ubonensis	Proteobacteria	0	-1.00	1	326705	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LPFZ01000051/index.html
Acetylornithine/succinyldiaminopimelate aminotransferase	MMDU01000007	sp_P18335_ARGD_ECOLI	232909	233333	226292	227494	cluster-1	t3pks-t1pks	211636-269858	5415	Mycobacterium tuberculosis	Actinobacteria	0	-1.00	0	2091988	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/MMDU01000007_95610_396149/index.html
Acetylornithine/succinyldiaminopimelate aminotransferase	CP008975	sp_P18335_ARGD_ECOLI	1255204	1255548	1248587	1249789	cluster-2	t3pks-t1pks	1233931-1292150	5415	Mycobacterium tuberculosis	Actinobacteria	0	-1.00	0	4539435	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/CP008975/index.html
Acetylornithine/succinyldiaminopimelate aminotransferase	JANY01000007	sp_P18335_ARGD_ECOLI	19275	19351	9633	10805	cluster-1	t3pks-t1pks	1-56166	8470	Mycobacterium kansasii 824	Actinobacteria	0	-1.00	0	210364	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/JANY01000007/index.html
Aminodeoxychorismate synthase component 1	JOFW01000016	sp_P05041_PABB_ECOLI	9496	9923	14295	16568	cluster-1	t1pks	1-34088	4372	Streptomyces sp. NRRL F-2305	Actinobacteria	0	-1.00	1	152872	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/JOFW01000016/index.html
Elongation factor Tu 1	PHAG01000006	sp_P0CE47_EFTU1_ECOLI	244680	245116	240352	241545	cluster-2	transatpks	223871-314283	3135	Firmicutes bacterium HGW-Firmicutes-1 (groundwater metagenome)	Firmicutes	0	-1.00	1	323802	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/PHAG01000006/index.html
Aminodeoxychorismate synthase component 1	BFBZ01000002	sp_P05041_PABB_ECOLI	565740	566164	575977	578139	cluster-1	t1pks	514480-593356	9813	symbiont metagenome	metagenomes	0	-1.00	0	8723391	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/BFBZ01000002/index.html
Acetylornithine/succinyldiaminopimelate aminotransferase	LQPH01000148	sp_P18335_ARGD_ECOLI	128744	129168	122244	123386	cluster-1	t3pks-t1pks	107564-148101	5358	Mycobacterium nebraskense	Actinobacteria	0	-1.00	0	148101	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LQPH01000148/index.html
Acetylornithine/succinyldiaminopimelate aminotransferase	MEBC01000001	sp_P18335_ARGD_ECOLI	95255	95663	100305	101615	cluster-1	transatpks-t1pks-nrps	32552-193150	4642	Burkholderia ubonensis	Proteobacteria	0	-1.00	2	515253	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/MEBC01000001/index.html
ECF RNA polymerase sigma-E factor	QHOI01000121	sp_P0AGB6_RPOE_ECOLI	26522	26948	16325	16936	cluster-1	t3pks-t1pks	6427-39241	9586	Verrucomicrobia bacterium (soil metagenome)	Verrucomicrobia	0	-1.00	0	39241	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/QHOI01000121/index.html
UDP-3-O-acyl-N-acetylglucosamine deacetylase	CP013730	sp_P0A725_LPXC_ECOLI	3379916	3380337	3379002	3379919	cluster-1	t1pks	3359916-3407523	3	Burkholderia cepacia JBK9	Proteobacteria	0	-1.00	2	3790084	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP013730_3236273_3537538/index.html
Acetylornithine/succinyldiaminopimelate aminotransferase	DIYT01000049	sp_P18335_ARGD_ECOLI	32797	33233	31190	32488	cluster-1	t1pks-nrps	12785-95184	309	Cyanobacteria bacterium UBA6047 (coral metagenome)	Cyanobacteria	0	-1.00	1	113411	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/DIYT01000049/index.html
Methionine-tRNA ligase	CP030041	sp_P00959_SYM_ECOLI	4412026	4412450	4401355	4403415	cluster-1	t1pks-nrps	4387442-4437949	8611	Echinicola strongylocentroti	Bacteroidetes	0	-1.00	0	6252144	True	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP030041_4265049_4584402/index.html
Serine--tRNA ligase	JAIZ01000146	sp_P0A8L1_SYS_ECOLI	9194	9585	332	1606	cluster-1	t1pks	1-27066	7588	Kitasatospora sp. MBT63	Actinobacteria	0	-1.00	0	27066	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/JAIZ01000146/index.html
Transcription termination factor Rho	FLNX01001119	sp_P0AG30_RHO_ECOLI	35830	36229	27681	28961	cluster-2	t1pks	15829-63232	6869	bioreactor metagenome	metagenomes	0	-1.00	0	67159	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/FLNX01001119/index.html
Transcriptional regulatory protein WalR	FUWR01000013	sp_Q9RDT5_WALR_STAAU	84820	85240	79663	80379	cluster-1	t1pks	64816-112459	4441	Geobacter thiogenes	Proteobacteria	0	-1.00	1	119667	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/FUWR01000013/index.html
UDP-3-O-acyl-N-acetylglucosamine deacetylase	CP009435	sp_P0A725_LPXC_ECOLI	1736493	1736920	1744084	1745007	cluster-1	t1pks	1716489-1764087	7164	Burkholderia glumae LMG 2196 = ATCC 33617	Proteobacteria	0	-1.00	0	3659771	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/CP009435/index.html
Proline--tRNA ligase	CP014960	sp_P16659_SYP_ECOLI	2996981	2997403	2986920	2988662	cluster-11	t1pks	2976973-3023254	8319	Mycobacterium abscessus	Actinobacteria	0	-1.00	0	4799801	True	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/CP014960/index.html
Protein translocase subunit SecY	QIKP01000058	sp_P0AGA2_SECY_ECOLI	41626	42051	38270	39631	cluster-1	t1pks	21589-69106	1995	Planctomycetaceae bacterium (hydrothermal vent metagenome)	Planctomycetes	0	-1.00	1	86442	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/QIKP01000058/index.html
Aminodeoxychorismate synthase component 1	KB846722	sp_P05041_PABB_ECOLI	3824	4247	8409	10526	cluster-1	t1pks	1-28396	4162	Streptomyces sp. CNS615	Actinobacteria	0	-1.00	1	227056	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/KB846722/index.html
beta-lactamase	CP003987	beta_lactamase	8784358	8784788	8778187	8779104	cluster-2	transatpks-nrps	8764353-8873800	5254	Streptomyces sp. 769	Actinobacteria	0	-1.00	0	10100774	True	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP003987_8575259_8948449/index.html
Regulator of ribonuclease activity A	LQOJ01000018	sp_P0A8R0_RRAA_ECOLI	14363	14790	8245	8718	cluster-1	t1pks	1-40660	5645	Mycolicibacterium fallax	Actinobacteria	0	-1.00	0	195128	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LQOJ01000018/index.html
Transcriptional regulatory protein WalR	NZ_KB899004	sp_Q9RDT5_WALR_STAAU	93599	93991	95606	96400	cluster-2	t2pks-otherks-t1pks-phenazine	72383-148726	1615	Streptomyces sp. CNB091	Actinobacteria	0	-1.00	0	252152	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/NZ_KB899004/index.html
Elongation factor Tu 1	LWRP01000113	sp_P0CE47_EFTU1_ECOLI	21684	21728	25283	26488	cluster-1	t1pks-otherks	14059-65591	3555	Streptomyces sp. FXJ1.172	Actinobacteria	0	-1.00	1	144313	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LWRP01000113/index.html
Acetylornithine/succinyldiaminopimelate aminotransferase	CP013442	sp_P18335_ARGD_ECOLI	82780	83188	87830	89140	cluster-1	bacteriocin-t1pks-nrps	21242-147922	4642	Burkholderia cepacia	Proteobacteria	0	-1.00	1	835898	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP013442/index.html
Periplasmic serine endoprotease DegP	QXGS01000002	sp_P0C0V0_DEGP_ECOLI	257581	258001	251313	252824	cluster-1	t1pks	237562-284899	4757	Roseomonas sp. CPCC 101021	Proteobacteria	0	-1.00	1	494840	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/QXGS01000002/index.html
Glutamine--fructose-6-phosphate aminotransferase [isomerizing]	CP007219	sp_P17169_GLMS_ECOLI	8880292	8880716	8874437	8876257	cluster-2	t1pks	8860283-8907230	4035	Amycolatopsis lurida NRRL 2430	Actinobacteria	0	-1.00	0	8987656	True	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP007219_8638880_8987656/index.html
Elongation factor Tu 1	NZ_MCGQ01000026	sp_P0CE47_EFTU1_ECOLI	80050	80094	83603	84775	cluster-1	t1pks-otherks	73689-166306	3509	Streptomyces diastatochromogenes	Actinobacteria	0	-1.00	0	199314	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/NZ_MCGQ01000026/index.html
Glutamine--fructose-6-phosphate aminotransferase [isomerizing]	MEFP01000012	sp_P17169_GLMS_ECOLI	110785	111210	106877	108706	cluster-1	t1pks-nrps	88900-136923	2079	Xanthomonadaceae bacterium SCN 69-320 (bioreactor metagenome)	Proteobacteria	0	-1.00	1	570770	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/MEFP01000012/index.html
Phosphoenolpyruvate carboxylase	LZHZ01000067	tr_E2QIY7_E2QIY7_ECOLX	33227	33638	28128	30923	cluster-1	t1pks-nrps	13225-66295	2304	Mycobacterium sp. ACS1612	Actinobacteria	0	-1.00	0	295974	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LZHZ01000067/index.html
Elongation factor Tu 1	FQ859185	sp_P0CE47_EFTU1_ECOLI	3799050	3799481	3790740	3791933	cluster-1	transatpks-t1pks-nrps	3784857-3878760	7117	Streptomyces cattleya NRRL 8057 = DSM 46488	Actinobacteria	0	-1.00	0	6283062	True	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/FQ859185_3649902_4006951/index.html
Acetylornithine/succinyldiaminopimelate aminotransferase	MEAX01000018	sp_P18335_ARGD_ECOLI	14305	14713	19355	20665	cluster-1	bacteriocin-transatpks-t1pks-nrps	1-129783	4642	Burkholderia ubonensis	Proteobacteria	0	-1.00	1	207353	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/MEAX01000018/index.html
Acetylornithine/succinyldiaminopimelate aminotransferase	MIHB01000001	sp_P18335_ARGD_ECOLI	175537	175962	168897	170087	cluster-1	t3pks-t1pks	154382-212617	5450	Mycobacterium intermedium	Actinobacteria	0	-1.00	0	280981	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/MIHB01000001/index.html
Acetylornithine/succinyldiaminopimelate aminotransferase	LZSZ01000161	sp_P18335_ARGD_ECOLI	27610	28034	21086	22279	cluster-1	t3pks-t1pks	6461-54474	5331	Mycobacterium sp. 852002-30065_SCH5024008	Actinobacteria	0	-1.00	0	54474	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LZSZ01000161/index.html
Pyruvate dehydrogenase [ubiquinone]	CP022545	sp_P07003_POXB_ECOLI	8280614	8280861	8287514	8289256	cluster-32	t1pks	8238864-8295800	6653	Streptomyces sp. 11-1-2	Actinobacteria	0	-1.00	9	11603877	True	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/CP022545/index.html
Acetylornithine/succinyldiaminopimelate aminotransferase	MVBN01000003	sp_P18335_ARGD_ECOLI	384990	385188	375214	376386	cluster-3	t3pks-t1pks	363666-421767	8604	Mycobacterium kansasii	Actinobacteria	0	-1.00	0	896541	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/MVBN01000003/index.html
1,4-dihydroxy-2-naphthoyl-CoA hydrolase	BBPD01001273	sp_P77781_MENI_ECOLI	8472	8891	6516	6941	cluster-1	t1pks	1-11833	1531	groundwater metagenome	metagenomes	0	-1.00	1	11833	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/BBPD01001273/index.html
Transcriptional regulatory protein WalR	JRML01000014	sp_Q9RDT5_WALR_STAAU	7338	7761	13926	14609	cluster-1	t1pks-nrps	1-33761	6165	Mycobacterium sp. UM_Kg17	Actinobacteria	0	-1.00	0	94609	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/JRML01000014/index.html
Elongation factor Tu 1	MTKC01000001	sp_P0CE47_EFTU1_ECOLI	377845	377889	382436	383614	cluster-1	t1pks-otherks	368089-420392	4547	Streptomyces griseofuscus	Actinobacteria	0	-1.00	1	1948235	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/MTKC01000001_240108_546453/index.html
Transcriptional regulatory protein WalR	CVTB01000259	sp_Q9RDT5_WALR_STAAU	32715	33139	23069	23827	cluster-1	t1pks	12702-54588	8888	Mycolicibacterium malmesburyense	Actinobacteria	0	-1.00	0	54588	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CVTB01000259/index.html
Acetylornithine/succinyldiaminopimelate aminotransferase	LPLF01000054	sp_P18335_ARGD_ECOLI	104604	105012	109654	110964	cluster-1	transatpks-t1pks-nrps	43066-202468	4642	Burkholderia ubonensis	Proteobacteria	0	-1.00	2	476649	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LPLF01000054/index.html
Transcriptional regulatory protein WalR	NZ_QOLA01000020	sp_Q9RDT5_WALR_STAAU	47958	48416	58317	58994	cluster-1	lantipeptide-t1pks-otherks	16057-72408	9901	Streptomyces sp. SDr-06	Actinobacteria	0	-1.00	0	161010	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/NZ_QOLA01000020/index.html
UDP-N-acetylglucosamine 1-carboxyvinyltransferase MurA	JQMF01000001	sp_P0A749_MURA_ECOLI	270157	270576	259689	260981	cluster-1	t1pks	250154-297743	9176	Rhizobium sp. CF097	Proteobacteria	0	-1.00	0	462631	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/JQMF01000001/index.html
Alanine racemase	NHNM01000003	sp_P0A6B4_ALR1_ECOLI	92184	92599	81562	82644	cluster-1	t1pks-nrps	71470-143273	9540	Pseudoalteromonas sp. GCY	Proteobacteria	0	-1.00	0	264410	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/NHNM01000003/index.html
Transcriptional regulatory protein WalR	KB908269	sp_Q9RDT5_WALR_STAAU	47400	47823	44115	44819	cluster-1	t1pks	27276-72759	2581	Mycobacterium sp. 141	Actinobacteria	0	-1.00	1	99664	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/KB908269/index.html
Regulator of ribonuclease activity A	CM001466	sp_P0A8R0_RRAA_ECOLI	739143	739490	732856	733389	cluster-2	t2pks-transatpks-t1pks-nrps	719140-889738	5754	Saccharomonospora azurea NA-128	Actinobacteria	0	-1.00	0	4763852	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CM001466_589422_1263666/index.html
beta-lactamase	KB890916	beta_lactamase	762453	762869	751482	752480	cluster-8	thiopeptide-t1pks-nrps	732502-788939	9973	Streptomyces sp. CcalMP-8W	Actinobacteria	0	-1.00	0	788939	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/KB890916/index.html
Aminodeoxychorismate synthase component 1	JNZI01000016	sp_P05041_PABB_ECOLI	100587	101014	97600	99771	cluster-1	lantipeptide-t1pks-nrps	1-123461	816	Streptomyces griseus subsp. griseus	Actinobacteria	0	-1.00	1	123461	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/JNZI01000016/index.html
UDP-3-O-acyl-N-acetylglucosamine deacetylase	RAIM01000002	sp_P0A725_LPXC_ECOLI	4404084	4404510	4403166	4404080	cluster-1	t1pks	4384080-4431729	4	Paraburkholderia sediminicola	Proteobacteria	0	-1.00	1	5007004	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/RAIM01000002_4260440_4561723/index.html
Acetylornithine/succinyldiaminopimelate aminotransferase	CP008967	sp_P18335_ARGD_ECOLI	1255215	1255460	1248587	1249789	cluster-2	t3pks-t1pks	1234413-1292150	5426	Mycobacterium tuberculosis	Actinobacteria	0	-1.00	0	4539435	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP008967_1105269_1406045/index.html
ATP-dependent zinc metalloprotease FtsH	AP017959	sp_P0AAI3_FTSH_ECOLI	804916	805320	813751	815652	cluster-1	t1pks	784223-832379	8431	Synechococcus sp. NIES-970	Cyanobacteria	0	-1.00	0	2836539	True	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/AP017959_659089_1415586/index.html
Aspartate--tRNA ligase	MKGR01000017	sp_P21889_SYD_ECOLI	52751	53171	42805	44574	cluster-1	t1pks-nrps	32049-80307	8177	Xenorhabdus thuongxuanensis	Proteobacteria	0	-1.00	0	80307	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/MKGR01000017/index.html
Acetylornithine/succinyldiaminopimelate aminotransferase	LZJZ01000027	sp_P18335_ARGD_ECOLI	211959	212383	205454	206650	cluster-2	t3pks-t1pks	190810-242545	5309	Mycobacterium sp. E2733	Actinobacteria	0	-1.00	0	242545	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LZJZ01000027/index.html
Aminodeoxychorismate synthase component 2	NYMS01000020	sp_P00903_PABA_ECOLI	192014	192442	180541	182607	cluster-1	t1pks-nrps	163996-217358	9407	Glycomyces fuscus	Actinobacteria	0	-1.00	0	244982	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/NYMS01000020/index.html
Acetylornithine/succinyldiaminopimelate aminotransferase	JUFV01000036	sp_P18335_ARGD_ECOLI	85936	86360	79319	80521	cluster-1	t3pks-t1pks	64756-120167	5415	Mycobacterium tuberculosis	Actinobacteria	0	-1.00	0	163588	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/JUFV01000036/index.html
Aminodeoxychorismate synthase component 2	KV411304	sp_P00903_PABA_ECOLI	3312841	3313085	3320949	3323108	cluster-2	t2pks-transatpks-t1pks-nrps	3202168-3321022	7864	Nocardia terpenica	Actinobacteria	0	-1.00	0	4638951	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/KV411304_3074082_3713622/index.html
Elongation factor P	CP010271	sp_P0A6N4_EFP_ECOLI	2592858	2593250	2597207	2597770	cluster-1	t2pks-t1pks	2571646-2640497	3957	Mycobacterium saopaulense	Actinobacteria	0	-1.00	0	4649175	True	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP010271_2441763_3055152/index.html
1,4-dihydroxy-2-naphthoyl-CoA synthase	JNLT01000017	sp_P0ABU0_MENB_ECOLI	144941	145364	149573	150376	cluster-2	t3pks-ladderane-t1pks-nrps	71266-206243	4209	Streptomyces sp. CNS654	Actinobacteria	0	-1.00	1	206243	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/JNLT01000017/index.html
Cytochrome bd-I ubiquinol oxidase subunit 2	FSSB01000018	sp_P0ABK2_CYDB_ECOLI	291689	292109	281077	282210	cluster-1	transatpks-t1pks-nrps	270982-346225	9479	Vibrio spartinae	Proteobacteria	0	-1.00	0	427344	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/FSSB01000018/index.html
Transcription termination factor Rho	PLPD01000129	sp_P0AG30_RHO_ECOLI	17196	17625	13815	15065	cluster-1	t1pks	1-27067	2131	Acidobacteriaceae bacterium (peat metagenome)	Acidobacteria	0	-1.00	1	27067	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/PLPD01000129/index.html
D-alanyl-D-alanine dipeptidase	MEHK01000002	sp_P77790_DDPX_ECOLI	132339	132762	122809	123612	cluster-1	butyrolactone-t2pks-t1pks-ectoine-nrps	112299-342781	8727	Streptomyces subrutilus	Actinobacteria	0	-1.00	0	573861	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/MEHK01000002/index.html
