							Rank1	Rank2			
LGTC01000001|agnB2_Leu-tRNA-syn|1711617|1711873|2657598|2660072|cluster-1|t1pks|1690391-1738733|945725	QVIG01000001|agnB2_Leu-tRNA-syn|1129259|1129717|4301933|4304827|cluster-2|bacteriocin-t1pks|1092992-1188178|3172216	256	458	21.09375	42.23301	21.13925971	11304	7428			
CP012673|AdmT_ACC|6675535|6676003|9758865|9759722|cluster-2|lantipeptide-t1pks-otherks|6650872-6705159|3082862	JH992893|AdmT_ACC|590780|591205|395501|396412|cluster-5|t1pks-nrps|553050-695420|194368	468	425	21.153846	45.964912	24.81106613	11303	6158			
CP010849|seryl-tRNA_synthetase|531976|532376|204424|205701|cluster-1|t2pks-t1pks|511967-653732|326275	NZ_KN039947|seryl-tRNA_synthetase|3044605|3044882|999984|1001261|cluster-11|transatpks-otherks|3024459-3062555|2043344	400	277	21.25	70.823529	49.57352941	11302	3482.5			
CP007142|agnB2_Leu-tRNA-syn|3165804|3166089|3322579|3325152|cluster-1|transatpks-ectoine-otherks|3070289-3202401|156490	KB235898|agnB2_Leu-tRNA-syn|782972|783386|835918|838476|cluster-2|t1pks-nrps|726295-836666|52532	285	414	21.403509	46.674446	25.27093697	11301	6090.5			
LQPW01000174|ArgK_OTCase|2808|3498|69533|70456|cluster-1|t3pks-t1pks-otherks|1-76494|66035	MVIK01000003|ArgK_OTCase|2831|3254|145368|146294|cluster-1|t1pks-nrps|1-31053|142114	690	423	21.449275	85.34202	63.89274418	11299	1866.5			
LQPW01000174|ArgK_OTCase|2808|3498|69533|70456|cluster-1|t3pks-t1pks-otherks|1-76494|66035	MWKW01000001|ArgK_OTCase|6120622|6121045|6282028|6282954|cluster-2|t1pks-nrps|6073066-6146904|160983	690	423	21.449275	84.364821	62.91554548	11299	2044.5			
LQPW01000174|ArgK_OTCase|2808|3498|69533|70456|cluster-1|t3pks-t1pks-otherks|1-76494|66035	NZ_UPHU01000001|ArgK_OTCase|2000132|2000555|2927806|2928732|cluster-4|t1pks-nrps|1925789-2025593|927251	690	423	21.449275	84.364821	62.91554548	11299	2044.5			
CP012673|AdmT_ACC|6675535|6676003|9758865|9759722|cluster-2|lantipeptide-t1pks-otherks|6650872-6705159|3082862	JH992893|AdmT_ACC|63438|63865|395501|396412|cluster-1|butyrolactone-t1pks-nrps|14515-113310|331636	468	427	21.581197	45.964912	24.3837157	11296.5	6158			
CP012673|AdmT_ACC|6675535|6676003|9758865|9759722|cluster-2|lantipeptide-t1pks-otherks|6650872-6705159|3082862	PEFS01000001|AdmT_ACC|7425768|7426194|1832660|1834345|cluster-2|t1pks|7405736-7449098|5591423	468	426	21.581197	36.491228	14.91003149	11296.5	9983.5			
AUCH01000004|seryl-tRNA_synthetase|214076|214385|158220|159509|cluster-2|transatpks-nrps|150043-230328|54567	FNTD01000004|seryl-tRNA_synthetase|6926263|6926675|6076093|6077370|cluster-3|transatpks-t1pks-nrps|6903276-6955834|848893	309	412	21.682848	44.055944	22.37309616	11295	6833			
CP011883|mupM_Ile-tRNA-syn|2383881|2384153|2811447|2814602|cluster-1|t1pks-arylpolyene|2292229-2404997|427294	LN879428|mupM_Ile-tRNA-syn|4627028|4627451|1258330|1261488|cluster-1|t1pks|4606900-4652383|3365540	272	423	21.691176	81.065652	59.37447529	11294	2810.5			
LN929908|mupM_Ile-tRNA-syn|1003506|1004160|2510595|2513711|cluster-1|t1pks-otherks|976801-1029754|1506435	LT906483|mupM_Ile-tRNA-syn|2363364|2363779|2105601|2108750|cluster-2|t1pks-nrps|2326704-2394935|254614	654	415	21.712538	83.911368	62.19882979	11292.5	2211.5			
LN929908|mupM_Ile-tRNA-syn|1003506|1004160|2510595|2513711|cluster-1|t1pks-otherks|976801-1029754|1506435	RCCW01000001|mupM_Ile-tRNA-syn|2916357|2916782|4492064|4495117|cluster-1|transatpks|2878340-2942074|1575282	654	425	21.712538	40.077071	18.36453306	11292.5	8426			
CP012752|agnB2_Leu-tRNA-syn|7133618|7133916|3637233|3639773|cluster-3|t2pks-t1pks-nrps|7113539-7198254|3493845	CP023778|agnB2_Leu-tRNA-syn|175797|176231|2714877|2717372|cluster-1|t1pks|155670-200820|2538646	298	434	21.812081	62.293144	40.48106367	11291	4051.5			
CP011340|AdmT_ACC|8348997|8349397|4043379|4045064|cluster-4|t1pks-ectoine-otherks|8335201-8395993|4303933	UGRU01000001|AdmT_ACC|456770|457203|2937656|2939332|cluster-2|t1pks|436625-482000|2480453	400	433	22	49.910873	27.91087344	11290	5754			
CP012673|AdmT_ACC|6675535|6676003|9758865|9759722|cluster-2|lantipeptide-t1pks-otherks|6650872-6705159|3082862	MLAW01000009|AdmT_ACC|84774|85210|31490|32455|cluster-1|t1pks-nrps|27977-110598|52319	468	436	22.008547	45.614035	23.60548808	11289	6243.5			
LQPW01000174|ArgK_OTCase|2808|3498|69533|70456|cluster-1|t3pks-t1pks-otherks|1-76494|66035	PKFQ01000001|ArgK_OTCase|1258706|1259131|5484776|5485777|cluster-1|t3pks-t1pks|1207877-1284647|4225645	690	425	22.028986	41.368078	19.33909267	11287.5	7789.5			
LQPW01000174|ArgK_OTCase|2808|3498|69533|70456|cluster-1|t3pks-t1pks-otherks|1-76494|66035	PKFQ01000001|ArgK_OTCase|868041|868465|5484776|5485777|cluster-5|lantipeptide-t1pks-nrps|727849-1025295|4616311	690	424	22.028986	41.368078	19.33909267	11287.5	7789.5			
CP011883|mupM_Ile-tRNA-syn|2383881|2384153|2811447|2814602|cluster-1|t1pks-arylpolyene|2292229-2404997|427294	JALN02000001|mupM_Ile-tRNA-syn|2430029|2430452|115655|118798|cluster-1|t1pks|2409911-2455250|2311231	272	423	22.058824	82.588011	60.52918789	11284.5	2557			
CP011883|mupM_Ile-tRNA-syn|2383881|2384153|2811447|2814602|cluster-1|t1pks-arylpolyene|2292229-2404997|427294	LT906483|mupM_Ile-tRNA-syn|4596360|4596783|2105601|2108750|cluster-1|t1pks|4576217-4621820|2487610	272	423	22.058824	82.302569	60.24374545	11284.5	2638.5			
CP011883|mupM_Ile-tRNA-syn|2383881|2384153|2811447|2814602|cluster-1|t1pks-arylpolyene|2292229-2404997|427294	LZKL01000111|mupM_Ile-tRNA-syn|123365|123790|14348|17491|cluster-2|t1pks-nrps|103348-139816|105874	272	425	22.058824	87.91627	65.85744669	11284.5	1442.5			
CP026652|GyrB-R|1844422|1844762|2235468|2237591|cluster-2|butyrolactone-t1pks|1817790-1879981|390706	JNWN01000002|GyrB-R|13486|13909|365882|367972|cluster-1|t1pks|1-41342|351973	340	423	22.058824	45.544554	23.48573093	11284.5	6313.5			
LQPW01000174|ArgK_OTCase|2808|3498|69533|70456|cluster-1|t3pks-t1pks-otherks|1-76494|66035	LT719128|ArgK_OTCase|2702692|2703114|2011085|2012011|cluster-1|t1pks|2681095-2732197|690681	690	422	22.173913	83.713355	61.53944201	11282	2262			
CP012673|AdmT_ACC|6675535|6676003|9758865|9759722|cluster-2|lantipeptide-t1pks-otherks|6650872-6705159|3082862	CP015399|AdmT_ACC|375563|375993|430889|431728|cluster-1|transatpks-otherks|342682-443120|54896	468	430	22.222222	38.596491	16.37426901	11280.5	9107.5			
LN831790|seryl-tRNA_synthetase|119742|120201|347431|348708|cluster-1|t1pks|99264-143430|227230	LN831790|seryl-tRNA_synthetase|7376012|7376441|347431|348708|cluster-3|t1pks|7355977-7439461|7027304	459	429	22.222222	100	77.77777778	11280.5	396			
CP011340|AdmT_ACC|8348997|8349397|4043379|4045064|cluster-4|t1pks-ectoine-otherks|8335201-8395993|4303933	LJGV01000022|AdmT_ACC|4736792|4737204|1709074|1710765|cluster-1|transatpks-t1pks-nrps|4710573-4822313|3026027	400	412	22.25	51.871658	29.62165775	11279	5569			
AUCH01000004|seryl-tRNA_synthetase|214076|214385|158220|159509|cluster-2|transatpks-nrps|150043-230328|54567	OMPD01000014|seryl-tRNA_synthetase|582889|583325|530047|531318|cluster-1|transatpks-ladderane-otherks|521181-662379|51571	309	436	22.330097	41.724942	19.39484464	11278	7602			
CP007142|agnB2_Leu-tRNA-syn|3165804|3166089|3322579|3325152|cluster-1|transatpks-ectoine-otherks|3070289-3202401|156490	CP021434|agnB2_Leu-tRNA-syn|3698668|3699094|4904010|4906469|cluster-1|phosphonate-thiopeptide-t1pks-nrps|3656238-3801815|1204916	285	426	22.45614	48.541424	26.08528322	11277	5841			
LN929908|mupM_Ile-tRNA-syn|1003506|1004160|2510595|2513711|cluster-1|t1pks-otherks|976801-1029754|1506435	LQQA01000017|mupM_Ile-tRNA-syn|140557|140979|75063|78203|cluster-1|t1pks-nrps|61087-170212|62354	654	422	22.477064	85.549133	63.07206873	11276	1830.5			
RBXO01000001|AdmT_ACC|5021317|5021615|3565480|3567510|cluster-2|t2pks-otherks-t1pks-nrps|5001251-5108609|1453807	UGRU01000001|AdmT_ACC|2853322|2853739|2937656|2939332|cluster-3|t2pks-t1pks-nrps|2833318-2957442|83917	298	417	22.483221	19.526627	2.956594258	11275	11243			
CP011340|AdmT_ACC|8348997|8349397|4043379|4045064|cluster-4|t1pks-ectoine-otherks|8335201-8395993|4303933	CP012673|AdmT_ACC|3367489|3367913|9758865|9759722|cluster-1|t3pks-t1pks-nrps|3326061-3422816|6390952	400	424	22.5	20.855615	1.644385027	11273.5	11205			
CP002047|SalI_beta_proteasome|1494308|1494548|3009209|3010054|cluster-8|nrps-otherks-t1pks-furan|1336592-1514066|1514661	CP002047|SalI_beta_proteasome|2097209|2097635|3009209|3010054|cluster-2|t1pks-otherks|2057881-2126587|911574	240	426	22.5	100	77.5	11273.5	396			
LQPW01000174|ArgK_OTCase|2808|3498|69533|70456|cluster-1|t3pks-t1pks-otherks|1-76494|66035	PKFQ01000001|ArgK_OTCase|497937|498375|5484776|5485777|cluster-3|t3pks-t1pks|434475-524051|4986401	690	438	22.608696	41.368078	18.75938252	11272	7789.5			
LN929908|mupM_Ile-tRNA-syn|1003506|1004160|2510595|2513711|cluster-1|t1pks-otherks|976801-1029754|1506435	LZKL01000111|mupM_Ile-tRNA-syn|123365|123790|14348|17491|cluster-2|t1pks-nrps|103348-139816|105874	654	425	22.629969	85.645472	63.01550264	11271	1822.5			
AUCH01000004|seryl-tRNA_synthetase|214076|214385|158220|159509|cluster-2|transatpks-nrps|150043-230328|54567	CPHM01000007|seryl-tRNA_synthetase|14638|15061|66234|67493|cluster-1|t1pks-nrps|1-80143|51173	309	423	22.653722	38.461538	15.80781678	11270	9154.5			
CP011340|AdmT_ACC|8348997|8349397|4043379|4045064|cluster-4|t1pks-ectoine-otherks|8335201-8395993|4303933	QTTT01000001|AdmT_ACC|6464120|6464334|3349202|3350902|cluster-1|t1pks|6460541-6506972|3113218	400	214	22.75	54.010695	31.26069519	11268	5345			
CP010849|seryl-tRNA_synthetase|531976|532376|204424|205701|cluster-1|t2pks-t1pks|511967-653732|326275	CP010849|seryl-tRNA_synthetase|7718217|7718642|204424|205701|cluster-9|t3pks-fused-bacteriocin-t1pks-nrps|7679429-7762396|7512516	400	425	22.75	100	77.25	11268	396			
CP010849|seryl-tRNA_synthetase|531976|532376|204424|205701|cluster-1|t2pks-t1pks|511967-653732|326275	LN831790|seryl-tRNA_synthetase|1231596|1232022|347431|348708|cluster-2|terpene-t1pks|1211564-1331006|882888	400	426	22.75	97.647059	74.89705882	11268	865			
LQPW01000174|ArgK_OTCase|2808|3498|69533|70456|cluster-1|t3pks-t1pks-otherks|1-76494|66035	MWKY01000001|ArgK_OTCase|1887209|1887634|6424524|6425450|cluster-1|t1pks-nrps|1855279-1915551|4536890	690	425	22.753623	84.364821	61.61119766	11266	2044.5			
LN929908|mupM_Ile-tRNA-syn|1003506|1004160|2510595|2513711|cluster-1|t1pks-otherks|976801-1029754|1506435	LT906483|mupM_Ile-tRNA-syn|4596360|4596783|2105601|2108750|cluster-1|t1pks|4576217-4621820|2487610	654	423	22.782875	83.911368	61.1284934	11264.5	2211.5			
LN929908|mupM_Ile-tRNA-syn|1003506|1004160|2510595|2513711|cluster-1|t1pks-otherks|976801-1029754|1506435	MVIK01000003|mupM_Ile-tRNA-syn|150688|151113|16327|19473|cluster-2|t3pks-t1pks|129511-154834|131215	654	425	22.782875	85.067437	62.28456276	11264.5	1911			
CP011883|mupM_Ile-tRNA-syn|2383881|2384153|2811447|2814602|cluster-1|t1pks-arylpolyene|2292229-2404997|427294	CYSI01000007|mupM_Ile-tRNA-syn|3332943|3333366|164778|167948|cluster-2|t1pks|3312816-3358251|3164995	272	423	22.794118	81.065652	58.27153411	11263	2810.5			
LQPW01000174|ArgK_OTCase|2808|3498|69533|70456|cluster-1|t3pks-t1pks-otherks|1-76494|66035	LT968775|ArgK_OTCase|1733467|1733889|1584393|1585319|cluster-4|t1pks-nrps|1713459-1810538|148148	690	422	23.043478	82.736156	59.69267809	11262	2464.5			
CP012673|AdmT_ACC|6675535|6676003|9758865|9759722|cluster-2|lantipeptide-t1pks-otherks|6650872-6705159|3082862	NJCW01000002|AdmT_ACC|136769|137194|187548|188492|cluster-1|otherks-t1pks-PUFA-nrps|90657-198198|50354	468	425	23.076923	48.070175	24.99325236	11260	5875.5			
CP012673|AdmT_ACC|6675535|6676003|9758865|9759722|cluster-2|lantipeptide-t1pks-otherks|6650872-6705159|3082862	UGRU01000001|AdmT_ACC|209017|209422|2937656|2939332|cluster-1|t1pks|189009-234282|2728234	468	405	23.076923	40	16.92307692	11260	8472.5			
CP012673|AdmT_ACC|6675535|6676003|9758865|9759722|cluster-2|lantipeptide-t1pks-otherks|6650872-6705159|3082862	UGRU01000001|AdmT_ACC|4777792|4778218|2937656|2939332|cluster-1|t1pks-nrps|4757789-4894422|1838460	468	426	23.076923	40	16.92307692	11260	8472.5			
RBXO01000001|AdmT_ACC|5021317|5021615|3565480|3567510|cluster-2|t2pks-otherks-t1pks-nrps|5001251-5108609|1453807	UGRU01000001|AdmT_ACC|456770|457203|2937656|2939332|cluster-2|t1pks|436625-482000|2480453	298	433	23.154362	19.526627	3.627735197	11257.5	11243			
RBXO01000001|AdmT_ACC|5021317|5021615|3565480|3567510|cluster-2|t2pks-otherks-t1pks-nrps|5001251-5108609|1453807	UGRU01000001|AdmT_ACC|6795001|6795422|2937656|2939332|cluster-1|t1pks-nrps|6731571-6831355|3855669	298	421	23.154362	19.526627	3.627735197	11257.5	11243			
CP007142|agnB2_Leu-tRNA-syn|3165804|3166089|3322579|3325152|cluster-1|transatpks-ectoine-otherks|3070289-3202401|156490	JXCB01000004|agnB2_Leu-tRNA-syn|1483033|1483460|44646|47219|cluster-1|t1pks-nrps|1432808-1526697|1435814	285	427	23.157895	47.841307	24.68341215	11256	5913			
CP011883|mupM_Ile-tRNA-syn|2383881|2384153|2811447|2814602|cluster-1|t1pks-arylpolyene|2292229-2404997|427294	CP025546|mupM_Ile-tRNA-syn|4354299|4354724|2870709|2873891|cluster-2|t1pks-nrps|4327494-4379855|1480408	272	425	23.161765	87.821123	64.65935803	11253	1452			
CP011883|mupM_Ile-tRNA-syn|2383881|2384153|2811447|2814602|cluster-1|t1pks-arylpolyene|2292229-2404997|427294	LDPU01000001|mupM_Ile-tRNA-syn|4269326|4269748|551319|554459|cluster-1|t1pks-nrps|4212344-4295637|3714867	272	422	23.161765	81.160799	57.99903453	11253	2796			
CP011883|mupM_Ile-tRNA-syn|2383881|2384153|2811447|2814602|cluster-1|t1pks-arylpolyene|2292229-2404997|427294	LN929908|mupM_Ile-tRNA-syn|1078442|1078863|2510595|2513711|cluster-2|t1pks-nrps|1039059-1104694|1431732	272	421	23.161765	83.158896	59.99713158	11253	2375			
CP011883|mupM_Ile-tRNA-syn|2383881|2384153|2811447|2814602|cluster-1|t1pks-arylpolyene|2292229-2404997|427294	LT906483|mupM_Ile-tRNA-syn|2363364|2363779|2105601|2108750|cluster-2|t1pks-nrps|2326704-2394935|254614	272	415	23.161765	82.302569	59.14080428	11253	2638.5			
CP011883|mupM_Ile-tRNA-syn|2383881|2384153|2811447|2814602|cluster-1|t1pks-arylpolyene|2292229-2404997|427294	UGQT01000001|mupM_Ile-tRNA-syn|1411038|1411463|247692|250838|cluster-1|t1pks|1391025-1436466|1160200	272	425	23.161765	82.017127	58.85536184	11253	2669.5			
AP018316|ArgK_OTCase|3935349|3935798|4025386|4026306|cluster-2|microviridin-nrps-t1pks-otherks|3906382-4038043|89588	CP014504|ArgK_OTCase|235908|236329|3301085|3302026|cluster-2|t1pks-nrps|211232-261849|3064756	449	421	23.162584	38.235294	15.0727106	11250	9328			
LN831790|seryl-tRNA_synthetase|119742|120201|347431|348708|cluster-1|t1pks|99264-143430|227230	OAOJ01000001|seryl-tRNA_synthetase|410012|410426|2696209|2697495|cluster-3|t1pks|389915-433955|2285783	459	414	23.311547	69.647059	46.33551198	11249	3590.5			
CP002047|SalI_beta_proteasome|1494308|1494548|3009209|3010054|cluster-8|nrps-otherks-t1pks-furan|1336592-1514066|1514661	JAFQ01000004|SalI_beta_proteasome|4137321|4137734|6346610|6347455|cluster-3|t1pks|4068482-4164421|2208876	240	413	23.333333	44.839858	21.50652432	11248	6594			
LGTC01000001|agnB2_Leu-tRNA-syn|1711617|1711873|2657598|2660072|cluster-1|t1pks|1690391-1738733|945725	QVIG01000001|agnB2_Leu-tRNA-syn|2523454|2523880|4301933|4304827|cluster-6|t1pks-nrps|2503442-2552687|1778053	256	426	23.4375	42.23301	18.79550971	11247	7428			
CP007142|agnB2_Leu-tRNA-syn|3165804|3166089|3322579|3325152|cluster-1|transatpks-ectoine-otherks|3070289-3202401|156490	CP007142|agnB2_Leu-tRNA-syn|4845800|4846225|3322579|3325152|cluster-1|t1pks-nrps|4821785-4869475|1520648	285	425	23.508772	100	76.49122807	11246	396			
CP011883|mupM_Ile-tRNA-syn|2383881|2384153|2811447|2814602|cluster-1|t1pks-arylpolyene|2292229-2404997|427294	CP019420|mupM_Ile-tRNA-syn|2270373|2270796|5882972|5886190|cluster-1|t1pks|2250264-2295597|3612176	272	423	23.529412	78.782112	55.25270051	11244	3057.5			
CP011883|mupM_Ile-tRNA-syn|2383881|2384153|2811447|2814602|cluster-1|t1pks-arylpolyene|2292229-2404997|427294	JALN02000001|mupM_Ile-tRNA-syn|2602205|2602630|115655|118798|cluster-2|terpene-t1pks|2582192-2639928|2483407	272	425	23.529412	82.588011	59.05859965	11244	2557			
CP011883|mupM_Ile-tRNA-syn|2383881|2384153|2811447|2814602|cluster-1|t1pks-arylpolyene|2292229-2404997|427294	NKRA01000001|mupM_Ile-tRNA-syn|5662440|5662862|320175|323357|cluster-1|t1pks-nrps|5642393-5710922|5339083	272	422	23.529412	87.91627	64.38685845	11244	1442.5			
AP010968|seryl-tRNA_synthetase|7312827|7313166|3059418|3060686|cluster-1|t1pks-arylpolyene-nrps|7294057-7409038|4252141	CP017599|seryl-tRNA_synthetase|1368180|1368606|3678480|3679763|cluster-1|t1pks-nrps|1332516-1398563|2309874	339	426	23.59882	44.312796	20.71397615	11241	6768.5			
AP010968|seryl-tRNA_synthetase|7312827|7313166|3059418|3060686|cluster-1|t1pks-arylpolyene-nrps|7294057-7409038|4252141	CP017599|seryl-tRNA_synthetase|6059811|6060235|3678480|3679763|cluster-3|t1pks|6039773-6101141|2380048	339	424	23.59882	44.312796	20.71397615	11241	6768.5			
