target_name	gbid	score_final	antismashfile	cluster_num	cluster_type	homologs	homologs_list	pident_list	redundant	redundant_list	ks_start	ks_end	gene_name	target_start	target_end	cluster_coord	species	phyla	d	score_distance	count	score_target_frequency	score	score_coevolution	copynum	complete	score_copy	score_homologs	positive	pos_homolog	pos_redundant
3-oxoacyl-[acyl-carrier-protein] synthase 1 (FabB/F)	LN879412	55	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/LN879412/index.html	cluster-1	t1pks-nrps	0	[]	[]	1	[]	12411	12747	12344	13567	tlmF1	1-13567	Lentzea sp. ATCC 31319	Actinobacteria	403	20	13	10	2.940272591	20	1	FALSE	5	0	FALSE	FALSE	FALSE
3-oxoacyl-[acyl-carrier-protein] synthase 1 (FabB/F)	JOIY01000044	55	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/JOIY01000044/index.html	cluster-1	t1pks	0	[]	[]	2	[u'LN879418']	45212	45551	45143	46372	ctg1_35	11882-56027	Streptomyces sp. NRRL S-340	Actinobacteria	408	20	13	10	3.973061395	20	1	FALSE	5	0	FALSE	FALSE	FALSE
3-oxoacyl-[acyl-carrier-protein] synthase 1 (FabB/F)	CM002280	55	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CM002280_203587_845247/index.html	cluster-3	t1pks-terpene	0	[]	[]	1	[]	483200	483538	483138	484367	ctg1_235	442565-536005	Streptomyces niveus NCIMB 11891	Actinobacteria	400	20	13	10	4.129825846	20	1	FALSE	5	0	FALSE	FALSE	FALSE
Acetyl CoA carboxylase	PEFS01000001	45	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/PEFS01000001_1686740_2018177/index.html	cluster-1	t2pks-lantipeptide-t1pks	1	[u'CP026304']	[84.477612]	5	"[u'AUKN01000003', u'KE150468', u'KZ836076', u'LJGV01000022']"	1836809	1837146	1832660	1834345	ctg1_127	1816719-1901875	Streptomyces sp. CNZ279	Actinobacteria	2464	20	52	0	17.38783825	10	1	FALSE	5	10	FALSE	FALSE	FALSE
Acetyl CoA carboxylase	LIPP01000032	45	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LIPP01000032/index.html	cluster-2	t2pks-t1pks-otherks	1	[u'KP710956']	[87.292818]	1	[]	69800	70198	67803	69503	ctg1_62	49795-99846	Streptomyces aurantiacus	Actinobacteria	297	20	58	0	12.65387766	10	1	FALSE	5	10	FALSE	FALSE	FALSE
Acetyl CoA carboxylase	KP710956	45	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/KP710956/index.html	cluster-1	t2pks-t1pks-otherks	1	[u'LIPP01000032']	[87.292818]	1	[]	25927	26289	23933	25630	dutM	5922-59215	Streptomyces minoensis	Actinobacteria	297	20	58	0	14.6333496	10	1	FALSE	5	10	FALSE	FALSE	FALSE
Acetyl CoA carboxylase	OFLW01000124	45	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/OFLW01000124/index.html	cluster-1	transatpks-nrps	0	[]	[]	1	[]	12645	13059	7679	9805	ctg1_9	1-32811	metagenome	metagenomes	2840	20	56	0	8.278817192	20	1	FALSE	5	0	FALSE	FALSE	FALSE
Acetyl CoA carboxylase	FOQH01000007	45	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/FOQH01000007/index.html	cluster-1	t1pks	1	[u'FNMZ01000003']	[86.396181]	1	[]	158116	158536	155470	156429	SAMN05216258_107141	138107-185585	Albimonas pacifica	Proteobacteria	1687	20	60	0	13.06777805	10	1	FALSE	5	10	FALSE	FALSE	FALSE
Acetyl CoA carboxylase	KE150468	45	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/KE150468_1637172_1939693/index.html	cluster-1	t2pks-lantipeptide-t1pks	1	[u'CP026304']	[81.791045]	5	"[u'AUKN01000003', u'KZ836076', u'LJGV01000022', u'PEFS01000001']"	1787240	1787574	1783056	1784753	ctg1_112	1767154-1858008	Streptomyces sp. HPH0547	Actinobacteria	2487	20	56	0	15.03808143	10	1	FALSE	5	10	FALSE	FALSE	FALSE
Acetyl CoA carboxylase	KZ836076	45	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/KZ836076_46105_377437/index.html	cluster-1	t2pks-t1pks	1	[u'CP026304']	[85.074627]	5	"[u'AUKN01000003', u'KE150468', u'LJGV01000022', u'PEFS01000001']"	196151	196485	191913	193604	ctg1_117	176063-247566	Streptomyces qinglanensis	Actinobacteria	2547	20	56	0	15.32620212	10	1	FALSE	5	10	FALSE	FALSE	FALSE
Acetyl CoA carboxylase	AUKN01000003	45	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/AUKN01000003/index.html	cluster-2	t2pks-t1pks	1	[u'CP026304']	[85.329341]	5	"[u'KE150468', u'KZ836076', u'LJGV01000022', u'PEFS01000001']"	205612	205946	201383	203074	ctg1_170	185524-256892	Streptomyces sp. CNT318	Actinobacteria	2538	20	56	0	10.37963383	10	1	FALSE	5	10	FALSE	FALSE	FALSE
Acetyl CoA carboxylase	LJGV01000022	45	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LJGV01000022_1525385_1855194/index.html	cluster-1	t2pks-t1pks	1	[u'CP026304']	[85.074627]	5	"[u'AUKN01000003', u'KE150468', u'KZ836076', u'PEFS01000001']"	1705408	1705742	1709074	1710765	ctg1_165	1655256-1726624	Streptomyces qinglanensis	Actinobacteria	3332	20	56	0	16.11317458	10	1	FALSE	5	10	FALSE	FALSE	FALSE
Acetyl CoA carboxylase	BDBD01000011	40	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/BDBD01000011_867822_1244349/index.html	cluster-1	nrps-t1pks-otherks	1	[u'PDDW01000001']	[84.429825]	1	[]	1012574	1013030	1006722	1008416	ctg1_136	992563-1114385	Nocardia coubleae NBRC 108252	Actinobacteria	4158	20	60	0	23.75122819	5	1	FALSE	5	10	FALSE	FALSE	FALSE
Acetyl CoA carboxylase	FMZZ01000007	40	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/FMZZ01000007/index.html	cluster-3	t2pks-t1pks	1	[u'UGRU01000001']	[82.564103]	1	[]	258858	259248	255679	257388	SAMN05216174_107245	238857-343672	Alloactinosynnema iranicum	Actinobacteria	1470	20	59	0	20.78394627	5	1	FALSE	5	10	FALSE	FALSE	FALSE
Acetyl CoA carboxylase	UGRU01000001	40	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/UGRU01000001_2572926_3087430/index.html	cluster-3	t2pks-t1pks-nrps	1	[u'FMZZ01000007']	[82.564103]	1	[]	2936178	2936568	2937656	2939332	ctg1_335	2833318-2957442	Nocardia africana	Actinobacteria	1088	20	59	0	20.81465811	5	1	FALSE	5	10	FALSE	FALSE	FALSE
Acetyl CoA carboxylase	KB894406	40	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/KB894406/index.html	cluster-1	t2pks-t1pks	0	[]	[]	1	[]	106906	107288	102095	103765	ctg1_90	86891-148771	Actinokineospora enzanensis DSM 44649	Actinobacteria	3141	20	58	0	19.2714553	10	2	FALSE	10	0	FALSE	FALSE	FALSE
Acetyl CoA carboxylase	CP026304	40	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/CP026304/index.html	cluster-2	t2pks-t1pks-arylpolyene-nrps	5	"[u'AUKN01000003', u'KE150468', u'KZ836076', u'LJGV01000022', u'PEFS01000001']"	"[85.329341, 81.791045, 85.074627, 85.074627, 84.477612]"	1	[]	7362687	7363022	7366570	7368267	SLUN_33575	7303001-7383847	Streptomyces lunaelactis	Actinobacteria	3548	20	56	0	11.80851232	10	1	TRUE	0	10	FALSE	FALSE	FALSE
Acetyl CoA carboxylase	CP004121	40	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP004121_3030963_3351475/index.html	cluster-1	t1pks-nrps	0	[]	[]	1	[]	3180956	3181360	3184212	3185081	ctg1_134	3166122-3222630	Clostridium saccharoperbutylacetonicum N1-4(HMT)	Firmicutes	2852	20	59	0	12.27558838	10	2	TRUE	10	0	FALSE	FALSE	FALSE
Acetyl CoA carboxylase	PDDW01000001	40	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/PDDW01000001_1483836_1811273/index.html	cluster-1	nrps-t1pks-otherks	1	[u'BDBD01000011']	[84.429825]	1	[]	1628693	1629149	1623414	1625159	ctg1_148	1608682-1680551	Nocardia sp. FDAARGOS_372	Actinobacteria	3534	20	60	0	24.09666648	5	1	FALSE	5	10	FALSE	FALSE	FALSE
Acetyl CoA carboxylase	QICS01000001	40	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/QICS01000001_66228_454164/index.html	cluster-2	transatpks-otherks	0	[]	[]	2	[u'NOKA02000002']	263896	264228	257346	258143	ctg1_177	243802-328232	Lachnotalea glycerini	Firmicutes	5753	10	58	0	8.246686194	20	2	FALSE	10	0	FALSE	FALSE	FALSE
Acetyl CoA carboxylase	KB903985	35	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/KB903985/index.html	cluster-3	t2pks-nrps-t1pks-otherks	0	[]	[]	2	[u'FOHX01000001']	307517	307848	301706	303391	ctg1_245	247899-328726	Nonomuraea coxensis DSM 45129	Actinobacteria	4126	20	52	0	14.02157419	10	1	FALSE	5	0	FALSE	FALSE	FALSE
Acetyl CoA carboxylase	MLCE01000002	35	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/MLCE01000002/index.html	cluster-2	t2pks-t1pks-otherks	0	[]	[]	1	[]	346558	346914	344477	346216	BKI49_01700	326511-376550	Streptomyces sp. Tue6028	Actinobacteria	342	20	58	0	13.99905965	10	1	FALSE	5	0	FALSE	FALSE	FALSE
Acetyl CoA carboxylase	KZ559477	35	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/KZ559477/index.html	cluster-1	t2pks-t1pks-nrps	0	[]	[]	1	[]	189517	189849	193433	195109	ctg1_170	131887-233392	Nonomuraea indica	Actinobacteria	3584	20	56	0	15.11911939	10	1	FALSE	5	0	FALSE	FALSE	FALSE
Acetyl CoA carboxylase	FOHX01000001	35	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/FOHX01000001/index.html	cluster-2	t2pks-otherks-t1pks-nrps	0	[]	[]	2	[u'KB903985']	836706	837037	840580	842265	SAMN05421811_101821	816629-895988	Nonomuraea wenchangensis	Actinobacteria	3543	20	52	0	12.88459962	10	1	FALSE	5	0	FALSE	FALSE	FALSE
Acetyl CoA carboxylase	AUKO01000040	35	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/AUKO01000040/index.html	cluster-1	t2pks-t1pks-otherks	0	[]	[]	1	[]	11922	12318	9915	11621	ctg1_11	1-38334	Streptomyces sp. CNT360	Actinobacteria	301	20	58	0	10.41054286	10	1	FALSE	5	0	FALSE	FALSE	FALSE
Acetyl CoA carboxylase	FRDL01000004	35	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/FRDL01000004/index.html	cluster-3	t1pks	0	[]	[]	1	[]	243032	243451	240669	241589	SAMN05216200_104205	223022-270629	Oceanicella actignis	Proteobacteria	1443	20	60	0	12.40522859	10	1	FALSE	5	0	FALSE	FALSE	FALSE
Acetyl CoA carboxylase	FNMZ01000003	35	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/FNMZ01000003/index.html	cluster-2	t1pks	1	[u'FOQH01000007']	[86.396181]	1	[]	516159	516578	525376	526410	SAMN05444336_103467	496140-543681	Albimonas donghaensis	Proteobacteria	8798	10	60	0	11.44496677	10	1	FALSE	5	10	FALSE	FALSE	FALSE
Acetyl CoA carboxylase	ANAW01000217	35	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/ANAW01000217/index.html	cluster-1	t2pks-t1pks-otherks	0	[]	[]	1	[]	20770	21139	16184	17857	ctg1_17	1-73180	Nocardiopsis synnemataformans DSM 44143	Actinobacteria	2913	20	57	0	11.91999655	10	1	FALSE	5	0	FALSE	FALSE	FALSE
Acetyl CoA carboxylase	BCQQ01000015	35	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/BCQQ01000015/index.html	cluster-1	t2pks-t1pks-otherks	0	[]	[]	1	[]	62323	62717	63815	65518	ctg1_53	22156-76458	Actinomadura formosensis NBRC 14204	Actinobacteria	1098	20	56	0	12.68676878	10	1	FALSE	5	0	FALSE	FALSE	FALSE
Acetyl CoA carboxylase	FQZK01000001	35	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/FQZK01000001/index.html	cluster-2	t2pks-t1pks-otherks	0	[]	[]	1	[]	435965	436315	440052	441719	SAMN05421803_101417	384889-464600	Nocardiopsis flavescens	Actinobacteria	3737	20	56	0	13.88749051	10	1	FALSE	5	0	FALSE	FALSE	FALSE
Acetyl CoA carboxylase	LZZM01000245	35	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LZZM01000245/index.html	cluster-1	t1pks-nrps	0	[]	[]	1	[]	55516	55921	52534	53406	CLPUN_53200	15052-71565	Clostridium puniceum	Firmicutes	2110	20	58	0	11.58321603	10	1	FALSE	5	0	FALSE	FALSE	FALSE
Acetyl CoA carboxylase	QTTT01000001	35	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/QTTT01000001_3193624_3511418/index.html	cluster-1	t2pks-t1pks	0	[]	[]	1	[]	3344831	3345219	3349202	3350902	ctg1_140	3323615-3386275	Actinomadura umbrina	Actinobacteria	3983	20	60	0	18.74419318	10	1	FALSE	5	0	FALSE	FALSE	FALSE
Acetyl CoA carboxylase	NOKA02000002	35	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/NOKA02000002/index.html	cluster-1	transatpks-arylpolyene-otherks-ladderane	0	[]	[]	2	[u'QICS01000001']	221135	221468	214592	215389	CG710_002860	180669-285441	Lachnotalea glycerini	Firmicutes	5746	10	58	0	9.789447817	20	1	FALSE	5	0	FALSE	FALSE	FALSE
Acetyl CoA carboxylase	PYAX01000012	35	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/PYAX01000012/index.html	cluster-1	bacteriocin-t2pks-t1pks	0	[]	[]	1	[]	177843	178183	179292	180998	B0I31_112147	120458-199012	Saccharothrix carnea	Actinobacteria	1109	20	57	0	17.04154031	10	1	FALSE	5	0	FALSE	FALSE	FALSE
Acetyl CoA carboxylase	CP017717	30	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP017717_9998332_10315588/index.html	cluster-1	ladderane-t1pks-arylpolyene-nrps	-1	[]	[]	-1	[]	10145278	10145340	10143442	10145154	ctg1_145	10086900-10191750	Nonomuraea sp. ATCC 55076	Actinobacteria	124	20	0	0	-1	0	2	TRUE	10	0	FALSE	FALSE	FALSE
Acetyl CoA carboxylase	NZ_RFFG01000027	30	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/NZ_RFFG01000027/index.html	cluster-1	t2pks-oligosaccharide-t1pks-otherks	0	[]	[]	1	[]	59397	59735	57504	59336	EBO15_RS17170	23268-97390	Actinomadura sp. NEAU-Ht49	Actinobacteria	61	20	58	0	16.46186334	10	0	FALSE	0	0	FALSE	FALSE	FALSE
Acetyl CoA carboxylase	JNLE01000003	30	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/JNLE01000003_2272925_2616331/index.html	cluster-1	transatpks-lantipeptide-otherks	0	[]	[]	1	[]	2422964	2423317	2415565	2416365	ctg1_111	2392306-2491617	Clostridium sp. KNHs205	Firmicutes	6599	10	55	0	15.29615209	10	2	FALSE	10	0	FALSE	FALSE	FALSE
Acetyl CoA carboxylase	CP015756	30	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP015756_2287592_2593534/index.html	cluster-1	t1pks-nrps	0	[]	[]	1	[]	2437121	2437577	2430326	2431186	ctg1_139	2416416-2472581	Clostridium estertheticum subsp. estertheticum	Firmicutes	5935	10	60	0	18.60131577	10	2	TRUE	10	0	FALSE	FALSE	FALSE
Acetyl CoA carboxylase	CP032402	30	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP032402_5051034_5423458/index.html	cluster-1	t2pks-t1pks	0	[]	[]	1	[]	5216703	5217093	5212381	5214063	ctg1_162	5181007-5293497	Actinomadura amylolytica	Actinobacteria	2640	20	60	0	19.84099284	10	1	TRUE	0	0	FALSE	FALSE	FALSE
Acetyl CoA carboxylase	KB895850	25	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/KB895850/index.html	cluster-1	t2pks-lantipeptide-t1pks-nrps	0	[]	[]	2	[u'FMCV01000021']	14168	14526	24191	25942	ctg1_27	1-80777	Micromonospora sp. CNB394	Actinobacteria	9665	10	58	0	16.14533623	10	1	FALSE	5	0	FALSE	FALSE	FALSE
Acetyl CoA carboxylase	JODP01000022	25	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/JODP01000022/index.html	cluster-1	butyrolactone-otherks-t1pks-nrps	0	[]	[]	1	[]	74875	75216	67248	68858	ctg1_54	14552-81778	Kineosporia aurantiaca JCM 3230	Actinobacteria	6017	10	58	0	15.80289083	10	1	FALSE	5	0	FALSE	FALSE	FALSE
Acetyl CoA carboxylase	NJCW01000002	25	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/NJCW01000002/index.html	cluster-1	otherks-t1pks-PUFA-nrps	0	[]	[]	3	"[u'JTHK01000007', u'NJAJ01000001']"	198091	198413	187548	188492	Xekj_00398	90657-198198	Xenorhabdus sp. KJ12.1	Proteobacteria	9599	10	59	0	12.34817495	10	1	FALSE	5	0	FALSE	FALSE	FALSE
Acetyl CoA carboxylase	FMCV01000021	25	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/FMCV01000021/index.html	cluster-1	t2pks-t1pks-nrps	0	[]	[]	2	[u'KB895850']	65647	66009	55031	56782	GA0070215_12138	1-88147	Micromonospora marina	Actinobacteria	8865	10	58	0	14.2247828	10	1	FALSE	5	0	FALSE	FALSE	FALSE
Acetyl CoA carboxylase	DFXI01000062	25	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/DFXI01000062/index.html	cluster-1	lantipeptide-transatpks-otherks	0	[]	[]	2	[u'DJJW01000026']	85835	86251	93670	94398	ctg1_67	23026-97233	Lachnoclostridium sp. UBA4112 (terrestrial metagenome)	Firmicutes	7419	10	56	0	19.44530199	10	1	FALSE	5	0	FALSE	FALSE	FALSE
Acetyl CoA carboxylase	OBVB01000276	25	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/OBVB01000276/index.html	cluster-1	t1pks-nrps	0	[]	[]	1	[]	42051	42473	47578	49086	ctg1_30	2222-49378	human gut metagenome	metagenomes	5105	10	60	0	12.51946206	10	1	FALSE	5	0	FALSE	FALSE	FALSE
Acetyl CoA carboxylase	FNQZ01000002	25	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/FNQZ01000002/index.html	cluster-1	t1pks-nrps	0	[]	[]	1	[]	263430	263857	268954	270603	SAMN02910384_00775	221760-288902	Pseudobutyrivibrio sp. ACV-2	Firmicutes	5097	10	60	0	15.15385249	10	1	FALSE	5	0	FALSE	FALSE	FALSE
Acetyl CoA carboxylase	JTHK01000007	25	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/JTHK01000007/index.html	cluster-1	otherks-t1pks-PUFA-nrps	0	[]	[]	3	"[u'NJAJ01000001', u'NJCW01000002']"	68530	68852	57887	58831	ctg1_24	1-68924	Xenorhabdus sp. NBAII XenSa04	Proteobacteria	9699	10	59	0	14.09271632	10	1	FALSE	5	0	FALSE	FALSE	FALSE
Acetyl CoA carboxylase	KK211308	25	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/KK211308/index.html	cluster-1	sactipeptide-nrps-t1pks-ladderane	0	[]	[]	1	[]	31908	32331	39352	40968	ctg1_27	1-78805	Butyrivibrio sp. LB2008	Firmicutes	7021	10	50	0	17.41428003	10	1	FALSE	5	0	FALSE	FALSE	FALSE
Acetyl CoA carboxylase	NJGH01000020	25	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/NJGH01000020/index.html	cluster-1	nrps-t1pks-PUFA-otherks	0	[]	[]	5	"[u'NIBS01000014', u'NJAH01000006', u'NZ_NJGH01000020', u'QTUB01000001']"	14798	15260	4868	5812	Xcab_02050	1-80367	Xenorhabdus cabanillasii JM26	Proteobacteria	8986	10	60	0	11.41956762	10	1	FALSE	5	0	FALSE	FALSE	FALSE
Acetyl CoA carboxylase	NJAH01000006	25	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/NJAH01000006/index.html	cluster-1	nrps-t1pks-PUFA-otherks	0	[]	[]	5	"[u'NIBS01000014', u'NJGH01000020', u'NZ_NJGH01000020', u'QTUB01000001']"	44991	45453	34613	35557	Xekk_01338	24976-133168	Xenorhabdus sp. KK7.4	Proteobacteria	9434	10	60	0	12.54920354	10	1	FALSE	5	0	FALSE	FALSE	FALSE
Acetyl CoA carboxylase	QTUB01000001	25	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/QTUB01000001_2212212_3198728/index.html	cluster-2	nrps-t1pks-PUFA-otherks	0	[]	[]	5	"[u'NIBS01000014', u'NJAH01000006', u'NJGH01000020', u'NZ_NJGH01000020']"	2522697	2523159	2512767	2513711	ctg1_293	2502682-2634214	Xenorhabdus cabanillasii	Proteobacteria	8986	10	60	0	11.12912878	10	1	FALSE	5	0	FALSE	FALSE	FALSE
Acetyl CoA carboxylase	OBAA01000005	25	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/OBAA01000005/index.html	cluster-1	transatpks-otherks	0	[]	[]	1	[]	9113	9443	1878	3500	ctg1_3	1-101139	human gut metagenome	metagenomes	5613	10	59	0	17.21798313	10	1	FALSE	5	0	FALSE	FALSE	FALSE
Acetyl CoA carboxylase	KB913024	25	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/KB913024_3253825_3562672/index.html	cluster-2	t1pks-otherks	0	[]	[]	1	[]	3399390	3399828	3392382	3394085	ctg1_130	3379379-3432714	Actinopolyspora mortivallis DSM 44261	Actinobacteria	5305	10	60	0	19.6326708	10	1	FALSE	5	0	FALSE	FALSE	FALSE
