target_name	target id	gbid	score_final	antismashfile	cluster_num	cluster_type	distance	species	phyla	homologs	homologs_list	redundant	redundant_list	count	copynum	coevolution score	positive	pos_homolog	pos_redundant
Translation initiation factor	rubR1_TIF	QGDV01000003	25	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/QGDV01000003/index.html	cluster-2	t1pks	7704	Rathayibacter iranicus NCPPB 2253 = VKM Ac-1602	Actinobacteria	0	[]	2	[u'PSUR01000002']	44	2	25.49826097	False	False	False
3-oxoacyl-[acyl-carrier-protein] synthase 1 (FabB/F)	PtmP3_FabB-F	JOIY01000044	60	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/JOIY01000044/index.html	cluster-1	t1pks	408	Streptomyces sp. NRRL S-340	Actinobacteria	0	[]	2	[u'LN879418']	13	2	3.97306139539	False	False	True
Elongation factor Tu	EF-Tu	PHAG01000006	35	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/PHAG01000006/index.html	cluster-2	transatpks	3135	Firmicutes bacterium HGW-Firmicutes-1 (groundwater metagenome)	Firmicutes	0	[]	1	[]	41	2	22.8780326526	False	False	False
Beta proteasome subunit	SalI_beta_proteasome	KP830094	50	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/KP830094/index.html	cluster-1	t1pks-nrps	8439	uncultured bacterium AR_456	environmental samples	1	[u'JAFQ01000004']	1	[]	37	2	6.84098285576	True	False	False
Elongation factor Tu	EF-Tu	MQUS01000004	30	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/MQUS01000004/index.html	cluster-2	t1pks-otherks	3317	Streptomyces sp. IMTB 2501	Actinobacteria	-1	[]	-1	[]	0	2	-1.0	False	False	False
Threonyl-tRNA synthetase	borI_Thr-tRNA-syn	NZ_ATUG01000002	5	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/NZ_ATUG01000002/index.html	cluster-1	t1pks	15768	Desulfospira joergensenii DSM 10085	Proteobacteria	-1	[]	-1	[]	0	0	-1.0	False	False	False
Beta proteasome subunit	SalI_beta_proteasome	CP000325	20	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP000325_2482764_2783927/index.html	cluster-2	t1pks-nrps	19960	Mycobacterium ulcerans Agy99	Actinobacteria	0	[]	2	[u'PEDE01000032']	37	2	21.212622637	False	False	False
Translation initiation factor	rubR1_TIF	UBWJ01000014	35	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/UBWJ01000014_327997_629259/index.html	cluster-1	t1pks	10049	Rhizobiales bacterium	Proteobacteria	13	[u'AZNX01000001', u'JQMF01000001', u'LMEY01000001', u'LMFA01000005', u'LMFB01000001', u'LMJD01000001', u'LMJJ01000001', u'LMQB01000023', u'LNQB01000073', u'LYBW01000060', u'MKIP01000058', u'MOOY01000008', u'QKLQ01000001']	7	[u'AMCX01000019', u'KB905370', u'LPUX01000053', u'MBFK01000150', u'UBXS01000009', u'UCGX01000013']	44	2	19.6290905339	False	False	False
Elongation factor Tu	EF-Tu	PJMR01000001	35	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/PJMR01000001_1582888_1928965/index.html	cluster-2	t1pks-otherks	14741	Streptomyces sp. 73	Actinobacteria	3	[u'CP022433', u'JOCB01000044', u'NZ_LBDA02000011']	5	[u'CP017248', u'PJMO01000001', u'QLLW01000013', u'QTUG01000001']	42	4	17.2129387172	False	False	False
Threonyl-tRNA synthetase	borI_Thr-tRNA-syn	JQJH01000003	35	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/JQJH01000003/index.html	cluster-2	t1pks-nrps	17341	Beijerinckia mobilis	Proteobacteria	0	[]	1	[]	31	2	6.27664922148	False	False	False
Elongation factor Tu	EF-Tu	CP031455	35	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP031455_1996626_2771982/index.html	cluster-1	terpene-blactam-t1pks-otherks-nrps	2763	Streptomyces olivoreticuli subsp. olivoreticuli	Actinobacteria	0	[]	2	[u'CP003987']	44	4	22.2000915256	False	False	False
Leucil-tRNA synthase	agnB2_Leu-tRNA-syn	FOVP01000015	45	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/FOVP01000015/index.html	cluster-1	t1pks	10072	Roseovarius lutimaris	Proteobacteria	1	[u'JQLS01000008']	3	[u'FRBN01000019', u'FWFJ01000014']	24	2	6.07248958045	False	False	False
Beta proteasome subunit	SalI_beta_proteasome	MWKW01000001	35	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/MWKW01000001_167428_1076801/index.html	cluster-2	t1pks-nrps	10446	Mycobacterium kansasii	Actinobacteria	8	[u'CP009481', u'JANZ01000003', u'LQOX01000055', u'MWKZ01000001', u'NKRA01000001', u'NKRC01000001', u'NKRE01000001', u'NZ_UPHU01000001']	4	[u'CP019888', u'MVBM01000009', u'MWKY01000001']	169	2	14.7862898654	False	False	False
Isoleucyl tRNA synthetase	mupM_Ile-tRNA-syn	FMUB01000005	25	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/FMUB01000005/index.html	cluster-1	t1pks-nrps	10962	Mycobacterium sp. UNC267MFSha1.1M11	Actinobacteria	0	[]	3	[u'BCSY01000031', u'CCBB010000002']	169	2	16.182691069	False	False	False
Leucil-tRNA synthase	agnB2_Leu-tRNA-syn	LT546170	35	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LT546170/index.html	cluster-2	t1pks-nrps	15604	Mycolicibacter icosiumassiliensis	Actinobacteria	0	[]	2	[u'LQOZ01000031']	25	2	7.52149680059	False	False	False
Elongation factor Tu	EF-Tu	FQ859185	60	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/FQ859185_3649902_4006951/index.html	cluster-1	transatpks-t1pks-nrps	7117	Streptomyces cattleya NRRL 8057 = DSM 46488	Actinobacteria	4	[u'JOGB01000030', u'KB895228', u'KB913022', u'KZ195583']	1	[]	13	6	3.27572079904	False	True	False
Beta proteasome subunit	SalI_beta_proteasome	LN999909	35	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/LN999909/index.html	cluster-1	t1pks-nrps	10807	Streptomyces chromofuscus	Actinobacteria	0	[]	2	[u'KF647220']	37	2	8.89591380472	False	False	True
Tryptophanyl-tRNA synthase	Ind0_Trp-tRNA-syn	NKRC01000001	35	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/NKRC01000001_3989451_4297292/index.html	cluster-1	t1pks	13563	Mycobacterium kansasii	Actinobacteria	1	[u'MWKW01000001']	11	[u'CP009481', u'CP019888', u'JANZ01000003', u'LQOX01000055', u'MVBM01000009', u'MWKY01000001', u'MWKZ01000001', u'NKRA01000001', u'NKRE01000001', u'NZ_UPHU01000001']	169	2	15.161681939	False	False	False
Elongation factor Tu	EF-Tu	MTKC01000001	30	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/MTKC01000001_240108_546453/index.html	cluster-1	t1pks-otherks	4547	Streptomyces griseofuscus	Actinobacteria	-1	[]	-1	[]	0	2	-1.0	False	False	False
Elongation factor Tu	EF-Tu	JEMF01000013	5	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/JEMF01000013/index.html	cluster-1	t1pks	11701	Cobetia crustatorum	Proteobacteria	-1	[]	-1	[]	0	0	-1.0	False	False	False
Isoleucyl tRNA synthetase	mupM_Ile-tRNA-syn	LKTM01000002	25	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LKTM01000002/index.html	cluster-1	t1pks-nrps	11214	Mycobacterium gordonae	Actinobacteria	0	[]	4	[u'CP025546', u'LQPD01000112', u'LZLE01000171']	169	2	14.9360097298	False	False	False
Translation initiation factor	rubR1_TIF	AUDH01000004	20	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/AUDH01000004/index.html	cluster-1	t1pks	13975	Rubritepida flocculans DSM 14296	Proteobacteria	0	[]	1	[]	41	2	22.0043563295	False	False	False
Translation initiation factor	rubR1_TIF	JQMF01000001	35	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/JQMF01000001/index.html	cluster-1	t1pks	13468	Rhizobium sp. CF097	Proteobacteria	6	[u'KB905370', u'LPUX01000053', u'MBFK01000150', u'UBWJ01000014', u'UBXS01000009', u'UCGX01000013']	14	[u'AMCX01000019', u'AZNX01000001', u'LMEY01000001', u'LMFA01000005', u'LMFB01000001', u'LMJD01000001', u'LMJJ01000001', u'LMQB01000023', u'LNQB01000073', u'LYBW01000060', u'MKIP01000058', u'MOOY01000008', u'QKLQ01000001']	43	2	14.6725826843	False	False	False
Gyrase B	GyrB-R	DF836084	35	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/DF836084_0_662325/index.html	cluster-1	transatpks-nrps	14530	Bacillus amyloliquefaciens	Firmicutes	0	[]	1	[]	54	2	7.30846598885	False	False	False
Elongation factor Tu	EF-Tu	PJMO01000001	35	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/PJMO01000001_1348589_1853544/index.html	cluster-3	t1pks-otherks	14684	Streptomyces sp. 59	Actinobacteria	4	[u'CP022433', u'JOCB01000044', u'NZ_LBDA02000011', u'QLLW01000013']	4	[u'CP017248', u'PJMR01000001', u'QTUG01000001']	42	4	17.1870974095	False	False	False
Elongation factor Tu	EF-Tu	BBUY01000005	25	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/BBUY01000005/index.html	cluster-2	transatpks-t1pks-nrps	10979	Streptomyces sp. NBRC 110611	Actinobacteria	0	[]	1	[]	39	2	18.4864349093	False	False	False
Translation initiation factor	rubR1_TIF	PLSL01000225	25	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/PLSL01000225/index.html	cluster-1	t1pks	8802	Acetobacteraceae bacterium (peat metagenome)	Proteobacteria	0	[]	1	[]	44	2	21.5151250943	False	False	False
Threonyl-tRNA synthetase	borI_Thr-tRNA-syn	MCGA01000017	35	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/MCGA01000017/index.html	cluster-2	t1pks	16356	Ralstonia pickettii	Proteobacteria	0	[]	1	[]	31	2	9.62863229689	False	False	False
Acetyl CoA carboxylase	AdmT_ACC	OBVB01000276	30	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/OBVB01000276/index.html	cluster-1	t1pks-nrps	5105	human gut metagenome	metagenomes	0	[]	1	[]	78	2	12.8888239235	False	False	False
Threonyl-tRNA synthetase	borI_Thr-tRNA-syn	KT362046	35	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/KT362046/index.html	cluster-1	t1pks	11966	Streptomyces rochei	Actinobacteria	0	[]	2	[u'AJ580915']	31	2	8.62642965487	True	False	False
Isoleucyl tRNA synthetase	mupM_Ile-tRNA-syn	LQPF01000043	40	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LQPF01000043/index.html	cluster-1	t1pks-nrps	7301	Mycobacterium lacus	Actinobacteria	9	[u'AP017635', u'AP018410', u'CP000854', u'CP025779', u'KZ269929', u'LQPW01000167', u'MVHE01000006', u'MVIK01000003', u'NCXP01000025']	1	[]	169	2	16.6209383494	False	False	False
Acetyl CoA carboxylase	AdmT_ACC	FNQZ01000002	30	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/FNQZ01000002/index.html	cluster-1	t1pks-nrps	5097	Pseudobutyrivibrio sp. ACV-2	Firmicutes	0	[]	1	[]	60	2	14.7717050049	False	False	False
Leucil-tRNA synthase	agnB2_Leu-tRNA-syn	CP021434	35	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP021434_4778841_5249768/index.html	cluster-1	t1pks-nrps	13535	Tumebacillus sp. AR23208	Firmicutes	0	[]	1	[]	24	2	7.12532017566	False	False	False
Acetyl CoA carboxylase	AdmT_ACC	CP017717	30	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP017717_9998332_10315588/index.html	cluster-1	ladderane-t1pks-arylpolyene-nrps	124	Nonomuraea sp. ATCC 55076	Actinobacteria	-1	[]	-1	[]	0	4	-1.0	False	False	False
Tryptophanyl-tRNA synthase	Ind0_Trp-tRNA-syn	PACP01000019	60	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/PACP01000019/index.html	cluster-1	t1pks	3359	Roseovarius sp. (marine metagenome)	Proteobacteria	1	[u'PHEQ01000003']	1	[]	26	2	7.43388062441	False	False	False
Leucil-tRNA synthase	agnB2_Leu-tRNA-syn	KV411304	40	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/KV411304_3074082_3713622/index.html	cluster-2	t2pks-transatpks-t1pks-nrps	6847	Nocardia terpenica	Actinobacteria	0	[]	1	[]	25	2	8.17756662404	False	False	False
Isoleucyl tRNA synthetase	mupM_Ile-tRNA-syn	MVHR01000021	40	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/MVHR01000021/index.html	cluster-1	t1pks	4196	Mycobacterium heidelbergense	Actinobacteria	0	[]	15	[u'CSTD01000001', u'LQPJ01000002', u'LQPL01000015', u'LQPO01000034', u'LQPR01000003', u'LZIC01000115', u'LZIR01000070', u'LZIS01000249', u'LZKL01000111', u'LZKR01000030', u'LZKT01000050', u'LZLY01000158', u'LZSE01000009', u'MOWS01000076']	169	2	14.9430396478	False	False	False
Isoleucyl tRNA synthetase	mupM_Ile-tRNA-syn	UGQT01000001	35	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/UGQT01000001_123537_424805/index.html	cluster-1	t1pks-nrps	17691	Mycolicibacterium tokaiense	Actinobacteria	5	[u'AUWS01000008', u'CP020809', u'CYSI01000007', u'LZTB01000025', u'MCHX01000047']	2	[u'CP019420']	169	2	14.678285994	False	False	False
Isoleucyl tRNA synthetase	mupM_Ile-tRNA-syn	MVHT01000008	20	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/MVHT01000008/index.html	cluster-1	t1pks	5266	Mycobacterium intermedium	Actinobacteria	-1	[]	-1	[]	0	2	-1.0	False	False	False
Acetyl CoA carboxylase	AdmT_ACC	LQIS01000012	25	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LQIS01000012/index.html	cluster-2	t1pks	16418	Mycobacterium sp. GA-1285	Actinobacteria	0	[]	1	[]	72	2	10.5591942011	False	False	False
Elongation factor Tu	EF-Tu	KV878204	5	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/KV878204/index.html	cluster-3	t1pks	19493	Aspergillus tubingensis CBS 134.48	Fungi	-1	[]	-1	[]	0	0	-1.0	False	False	False
Beta proteasome subunit	SalI_beta_proteasome	JAFQ01000004	60	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/JAFQ01000004_6204886_7160143/index.html	cluster-1	t1pks-nrps	2928	Nocardia sp. BMG51109	Actinobacteria	1	[u'KP830094']	1	[]	37	2	6.71069597553	False	True	False
Isoleucyl tRNA synthetase	mupM_Ile-tRNA-syn	LZIJ01000197	25	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LZIJ01000197/index.html	cluster-2	t1pks	10944	Mycobacterium sp. 852002-51163_SCH5372311	Actinobacteria	0	[]	2	[u'LZSG01000070']	169	2	15.8981580196	False	False	False
Acetyl CoA carboxylase	AdmT_ACC	JRYR02000001	35	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/JRYR02000001_4343565_4644839/index.html	cluster-1	t1pks	17866	Flammeovirga pacifica	Bacteroidetes	0	[]	1	[]	62	2	9.91204190441	False	False	False
Acetyl CoA carboxylase	AdmT_ACC	NZ_NJGH01000020	30	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/NZ_NJGH01000020/index.html	cluster-1	nrps-t1pks-PUFA-otherks	8986	Xenorhabdus cabanillasii JM26	Proteobacteria	3	[u'CP016176', u'NIBV01000002', u'NIUA01000001']	5	[u'NIBS01000014', u'NJAH01000006', u'NJGH01000020', u'QTUB01000001']	76	0	10.0715349007	False	False	False
Isoleucyl tRNA synthetase	mupM_Ile-tRNA-syn	LQPD01000112	30	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LQPD01000112/index.html	cluster-1	t1pks	5239	Mycobacterium kubicae	Actinobacteria	0	[]	4	[u'CP025546', u'LKTM01000002', u'LZLE01000171']	169	2	15.1606562081	False	False	False
Gyrase B	GyrB-R	PXZO01000002	35	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/PXZO01000002/index.html	cluster-4	transatpks-nrps	19809	Brevibacillus sp. NRRL B-41110	Firmicutes	0	[]	12	[u'AKIX01000028', u'AP008955', u'AP008955', u'CP018145', u'CP023474', u'CP030117', u'LGJF01000001', u'LMPN01000003', u'PXZM01000036', u'PXZN01000012', u'QRDR01000001']	54	2	5.16323747698	False	False	False
Beta proteasome subunit	SalI_beta_proteasome	FNHV01000013	35	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/FNHV01000013/index.html	cluster-2	t1pks-nrps	16846	Streptomyces sp. cf386	Actinobacteria	0	[]	1	[]	37	2	9.83278738695	False	False	False
Enoyl-[acyl-carrier-protein] reductase [NADH] FabI	BatG_FabI	JXDG01000003	20	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/JXDG01000003/index.html	cluster-1	transatpks-otherks-nrps	5648	Pseudomonas batumici	Proteobacteria	-1	[]	-1	[]	0	2	-1.0	True	False	False
Gyrase B	GyrB-R	NBMB01000023	30	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/NBMB01000023/index.html	cluster-1	t1pks-nrps	213	Candidatus Cloacimonetes bacterium 4572_55 (marine sediment metagenome)	Candidatus Cloacimonetes	0	[]	1	[]	54	0	13.4228913042	False	False	False
Beta proteasome subunit	SalI_beta_proteasome	MWKX01000001	25	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/MWKX01000001_250444_551712/index.html	cluster-2	t1pks-nrps	10312	Mycobacterium persicum	Actinobacteria	0	[]	12	[u'CP009483', u'CP019885', u'CP019888', u'JANY01000012', u'MWKV01000001', u'MWKW01000001', u'MWKY01000001', u'MWQA01000001', u'NKQX01000001', u'NKRA01000001', u'NZ_UPHU01000001']	37	2	12.3363769556	False	False	False
Tryptophanyl-tRNA synthase	Ind0_Trp-tRNA-syn	NZ_AZUM01000002	25	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/NZ_AZUM01000002/index.html	cluster-1	t1pks	16411	Saccharomonospora sp. CNQ490	Actinobacteria	0	[]	2	[u'NZ_MWIH01000005']	27	0	4.0663435871	False	False	False
Translation initiation factor	rubR1_TIF	CP017248	40	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP017248_6154088_6503251/index.html	cluster-2	melanin-aminocoumarin-t1pks-nrps	1442	Streptomyces puniciscabiei	Actinobacteria	0	[]	1	[]	43	4	14.4449372298	False	False	False
Beta proteasome subunit	SalI_beta_proteasome	AZWV01000034	30	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/AZWV01000034/index.html	cluster-1	transatpks-lantipeptide-t1pks-nrps	5938	Salinispora arenicola CNH941	Actinobacteria	0	[]	4	[u'AUKS01000001', u'AZXH01000001', u'CP000667']	37	2	10.6996336298	False	False	True
Elongation factor Tu	EF-Tu	FNTQ01000001	30	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/FNTQ01000001_7807301_8113649/index.html	cluster-1	t1pks-otherks	2220	Streptomyces sp. Ag109_O5-10	Actinobacteria	-1	[]	-1	[]	0	6	-1.0	False	False	False
Acetyl CoA carboxylase	AdmT_ACC	JODC01000026	30	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/JODC01000026/index.html	cluster-1	t1pks-otherks	9148	Streptomyces sp. NRRL S-646	Actinobacteria	0	[]	1	[]	61	2	17.1023998945	False	False	False
Isoleucyl tRNA synthetase	mupM_Ile-tRNA-syn	CP008973	35	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP008973_1106071_1406268/index.html	cluster-1	t1pks	14020	Mycobacterium tuberculosis	Actinobacteria	2	[u'CP004886', u'FO203510']	32	[u'AQQC01000053', u'CM002124', u'CP003233', u'CP008959', u'CP008960', u'CP008963', u'CP008965', u'CP008967', u'CP008968', u'CP008970', u'CP008975', u'CP008976', u'CP008977', u'CP008982', u'CP008983', u'CP009449', u'CP010895', u'CP016401', u'CP017593', u'CP022704', u'CP024614', u'FO203509', u'FR878060', u'JQEX01000030', u'KK338758', u'KK338784', u'KK338939', u'KK356241', u'KL407303', u'KQ483382', u'MQDE01000005']	169	2	13.0308905892	False	False	False
Elongation factor Tu	EF-Tu	NZ_KQ948036	10	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/NZ_KQ948036/index.html	cluster-1	t1pks-otherks	8221	Streptomyces cellostaticus	Actinobacteria	-1	[]	-1	[]	0	0	-1.0	False	False	False
Isoleucyl tRNA synthetase	mupM_Ile-tRNA-syn	AP018410	35	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/AP018410_2415181_2716455/index.html	cluster-1	t1pks-nrps	17184	Mycobacterium pseudoshottsii JCM 15466	Actinobacteria	5	[u'LQPF01000043', u'LQPW01000167', u'MVHE01000006', u'MVIK01000003', u'NCXP01000025']	5	[u'AP017635', u'CP000854', u'CP025779', u'KZ269929']	169	2	14.646773474	False	False	False
Gyrase B	GyrB-R	CAPD01000006	20	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CAPD01000006/index.html	cluster-1	t1pks-nrps	6637	Erwinia amylovora Ea644	Proteobacteria	-1	[]	-1	[]	0	2	-1.0	False	False	False
Tryptophanyl-tRNA synthase	Ind0_Trp-tRNA-syn	MWQA01000001	25	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/MWQA01000001_4217497_4518771/index.html	cluster-1	t1pks	14750	Mycobacterium persicum	Actinobacteria	0	[]	12	[u'CP009483', u'CP019885', u'CP019888', u'JANY01000012', u'MWKV01000001', u'MWKW01000001', u'MWKX01000001', u'MWKY01000001', u'NKQX01000001', u'NKRA01000001', u'NZ_UPHU01000001']	37	2	12.3627886766	False	False	False
Elongation factor Tu	EF-Tu	NZ_JNXR01000047	20	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/NZ_JNXR01000047/index.html	cluster-1	t1pks-otherks	4660	Streptomyces durhamensis	Actinobacteria	-1	[]	-1	[]	0	0	-1.0	False	False	False
Acetyl CoA carboxylase	AdmT_ACC	NZ_AQRG01000006	15	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/NZ_AQRG01000006/index.html	cluster-2	t1pks-otherks	16374	Streptomyces sp. LamerLS-316	Actinobacteria	0	[]	1	[]	23	0	15.3344009057	False	False	False
3-oxoacyl-[acyl-carrier-protein] synthase 1 (FabB/F)	PtmP3_FabB-F	JOGB01000030	70	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/JOGB01000030/index.html	cluster-1	t1pks-nrps	403	Streptomyces sp. NRRL S-87	Actinobacteria	2	[u'FQ859185', u'KZ195583']	3	[u'KB895228', u'KB913022']	13	2	3.24138026651	False	False	True
Beta proteasome subunit	SalI_beta_proteasome	CP009483	30	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP009483_228015_535317/index.html	cluster-2	t1pks-nrps	9810	Mycobacterium kansasii 824	Actinobacteria	0	[]	12	[u'CP019885', u'CP019888', u'JANY01000012', u'MWKV01000001', u'MWKW01000001', u'MWKX01000001', u'MWKY01000001', u'MWQA01000001', u'NKQX01000001', u'NKRA01000001', u'NZ_UPHU01000001']	37	2	12.2871741875	False	False	False
Elongation factor Tu	EF-Tu	MLCE01000037	25	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/MLCE01000037/index.html	cluster-1	terpene-t1pks	9850	Streptomyces sp. Tue6028	Actinobacteria	0	[]	1	[]	41	2	23.2026513555	False	False	False
