target_name	genbankid	targetid	ks_start	ks_end	arget_start	target_end	cluster_num	cluster_type	cluster_coord	cluster_len	species	phyla	count	score	copynum	genome_size	complete	antismashfile
Hypothetical acetyltransferase yncA (EC 2.3.1.-)	QLLY01000005	DEG10180250	287641	288063	277757	278278	cluster-2	t1pks	267540-311604	9363	Streptomyces sp. PsTaAH-137	Actinobacteria	0	-1.00	1	572538	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/QLLY01000005/index.html
Glyceraldehyde 3-phosphate dehydrogenase A (EC 1.2.1.12)	CP000568	DEG10180303	165855	166101	173889	174899	cluster-1	t1pks	144639-192903	7788	Ruminiclostridium thermocellum ATCC 27405 (Clostridium thermocellum ATCC 27405)	Firmicutes	0	-1.00	1	3843301	True	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/CP000568/index.html
GTP cyclohydrolase I (EC 3.5.4.16)	CP015726	DEG10180344	332025	332432	337773	338417	cluster-1	t1pks-terpene-nrps	307783-363727	5341	Streptomyces sp. RTd22	Actinobacteria	0	-1.00	74	11142275	True	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/CP015726/index.html
GTP cyclohydrolase II (EC 3.5.4.25)	FSTQ01000168	DEG10180222	5989	6415	2949	3704	cluster-1	t1pks-nrps	1-17049	2285	metagenome	metagenomes	0	-1.00	1	17049	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/FSTQ01000168/index.html
Ubiquinone menaquinone biosynthesis methyltransferase ubiE (EC 2.1.1.-)	MVHD01000006	DEG10180556	131453	131876	140411	141142	cluster-1	t1pks	110746-160351	8535	Mycobacterium alsense	Actinobacteria	0	-1.00	1	167198	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/MVHD01000006/index.html
Glutamate-1-semialdehyde 2,1-aminomutase (EC 5.4.3.8)	CP013442	DEG10180034	65408	65832	65375	78781	cluster-1	bacteriocin-t1pks-nrps	21242-147922	457	Burkholderia cepacia	Proteobacteria	0	-1.00	2	835898	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP013442/index.html
3-oxoacyl-[acyl-carrier-protein] synthase I (EC 2.3.1.41)	JOEI01000002	DEG10180363	275556	275898	275493	276734	cluster-2	t1pks-nrps	267994-377308	405	Streptomyces scopuliridis RB72	Actinobacteria	0	-1.00	2	463252	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/JOEI01000002/index.html
3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)	FRDC01002724	DEG10180180	10917	11343	5469	6221	cluster-1	t1pks	1-24434	4696	freshwater metagenome	metagenomes	0	-1.00	1	24434	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/FRDC01002724/index.html
Hypothetical transport protein yfaV	CPIY01000008	DEG10180356	98294	98683	106978	108309	cluster-1	t3pks-t1pks	64424-122550	8295	Mycobacterium tuberculosis	Actinobacteria	0	-1.00	1	196312	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CPIY01000008/index.html
3-oxoacyl-[acyl-carrier-protein] synthase III (EC 2.3.1.41)	LJIW01000001	DEG10180178	2710923	2710989	2710838	2711833	cluster-3	t1pks	2705927-2786952	151	Streptomyces malaysiensis	Actinobacteria	0	-1.00	2	6203920	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LJIW01000001_2454748_2908651/index.html
Hypothetical ABC transporter ATP-binding protein ynjD	NZ_AUKS01000016	DEG10180300	121387	121814	113799	115682	cluster-2	thiopeptide-t1pks-nrps	69513-171436	5705	Salinispora tropica CNT261	Actinobacteria	0	-1.00	0	173537	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/NZ_AUKS01000016/index.html
Hypothetical transport protein yfaV	CNCX01000005	DEG10180356	91470	91859	83788	85119	cluster-1	t3pks-t1pks	69547-117470	6351	Mycobacterium tuberculosis	Actinobacteria	0	-1.00	1	117470	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CNCX01000005/index.html
3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.60)	DMMY01000027	DEG10180156	189151	189592	189145	196029	cluster-1	t1pks-otherks	169145-223127	447	Elusimicrobia bacterium (groundwater metagenome)	Elusimicrobia	0	-1.00	1	253850	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/DMMY01000027/index.html
Porphobilinogen deaminase (EC 4.3.1.8)	LLZM01000080	DEG10180552	17704	18119	7117	8052	cluster-1	t1pks-nrps	1-51514	9652	Streptomyces sp. NRRL WC-3604	Actinobacteria	0	-1.00	1	51514	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LLZM01000080/index.html
3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.60)	NZ_BCFL01000029	DEG10180156	69319	69756	69315	76565	cluster-1	t1pks-otherks	42344-96565	441	Streptomyces hyaluromycini	Actinobacteria	0	-1.00	0	278272	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/NZ_BCFL01000029/index.html
3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)	QFXB01000043	DEG10180180	25831	26261	22291	23037	cluster-1	t1pks	5795-33117	2794	Streptomyces sp. NWU49	Actinobacteria	0	-1.00	1	33117	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/QFXB01000043/index.html
TorCAD operon transcriptional regulatory protein torR	MJGC01000110	DEG10180164	130377	130805	126620	127318	cluster-1	t1pks-nrps	110368-160817	3059	Desertifilum sp. IPPAS B-1220	Cyanobacteria	0	-1.00	1	167081	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/MJGC01000110/index.html
UDP-N-acetylglucosamine--N-acetylmuramyl-(Pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.-)	CP024985	DEG10180019	575293	575718	566799	567971	cluster-1	lantipeptide-t1pks	539149-666472	7322	Streptomyces lavendulae subsp. lavendulae	Actinobacteria	0	-1.00	3	8691711	True	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP024985_429453_794030/index.html
3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.60)	LT629768	DEG10180156	186472	187203	186467	193219	cluster-1	t1pks-otherks	160198-213219	736	Streptomyces sp. 2114.2	Actinobacteria	0	-1.00	5	8620263	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/LT629768/index.html
N-acetyl-gamma-glutamyl-phosphate reductase (EC 1.2.1.38)	JUFV01000036	DEG10180564	85936	86360	76172	77230	cluster-1	t3pks-t1pks	64756-120167	8706	Mycobacterium tuberculosis	Actinobacteria	0	-1.00	1	163588	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/JUFV01000036/index.html
Hypothetical protein ydgE	KE007191	DEG10180267	1118766	1119198	1112488	1112841	cluster-2	transatpks-otherks-nrps	1098228-1208325	5925	Salinibacillus aidingensis MSP4	Firmicutes	0	-1.00	1	2052512	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/KE007191_987862_1306699/index.html
Probable ABC transporter ATP-binding protein yhbG	QPJT01000011	DEG10180475	40507	40930	38451	39386	cluster-1	transatpks-t1pks-nrps	20473-129387	1121	Anaerobacterium chartisolvens	Firmicutes	0	-1.00	2	167452	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/QPJT01000011/index.html
1-deoxy-D-xylulose 5-phosphate synthase (EC 4.1.3.37)	CP000908	DEG10180080	2168704	2169125	2158100	2160082	cluster-1	t1pks-terpene	2141313-2196148	8622	Methylobacterium extorquens PA1	Proteobacteria	0	-1.00	2	5471154	True	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP000908_2024802_2326067/index.html
Protein-export membrane protein secD	ATZD01000013	DEG10180073	87571	87961	77109	79643	cluster-1	t1pks	67570-114985	7928	Sinorhizobium meliloti Mlalz-1	Proteobacteria	0	-1.00	1	152663	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/ATZD01000013/index.html
Arginine repressor	LQPJ01000141	DEG10180483	10082	10507	5465	5959	cluster-1	t3pks-t1pks	1-27191	4123	Mycobacterium palustre	Actinobacteria	0	-1.00	1	27191	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LQPJ01000141/index.html
Probable transport ATP-binding protein msbA	LQIS01000012	DEG10180148	297464	297886	288477	290357	cluster-2	t1pks	277434-305473	7107	Mycobacterium sp. GA-1285	Actinobacteria	0	-1.00	1	305473	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LQIS01000012/index.html
Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)	LDCN01000001	DEG10180179	1053496	1053911	1062092	1065394	cluster-1	transatpks-nrps	970815-1080414	8181	Brevibacillus formosus	Firmicutes	0	-1.00	4	1166708	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LDCN01000001_854567_1166708/index.html
30S ribosomal protein S14	KK340220	DEG10180498	2315264	2315719	2325072	2325377	cluster-1	t1pks	2284657-2335261	9353	Mycobacterium tuberculosis UT0094	Actinobacteria	0	-1.00	1	2803629	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/KK340220_2166236_2467606/index.html
Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)	CP022438	DEG10180179	6472753	6473179	6454328	6472676	cluster-5	bacteriocin-t1pks	6390437-6502794	77	Streptomyces peucetius subsp. caesius ATCC 27952	Actinobacteria	0	-1.00	45	8023114	True	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/CP022438/index.html
Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)	OBJC01000114	DEG10180179	6565	7026	6533	15400	cluster-1	t1pks	1-15400	493	metagenome	metagenomes	0	-1.00	1	15400	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/OBJC01000114/index.html
Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)	AP008955	DEG10180179	4222898	4223313	4231469	4234771	cluster-1	transatpks-nrps	4140504-4249786	8156	Brevibacillus brevis NBRC 100599	Firmicutes	0	-1.00	3	6296436	True	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/AP008955/index.html
3-oxoacyl-[acyl-carrier-protein] synthase I (EC 2.3.1.41)	BAGL01000050	DEG10180363	40598	40857	40441	41700	cluster-1	t1pks	4692-51108	416	Nocardia transvalensis NBRC 15921	Actinobacteria	0	-1.00	1	132556	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/BAGL01000050/index.html
Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)	BBCM01000001	DEG10180179	38482	38906	42283	43038	cluster-1	transatpks-t1pks-nrps	3155-84596	3377	[Clostridium] straminisolvens JCM 21531	Firmicutes	0	-1.00	1	125509	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/BBCM01000001/index.html
Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)	CP023865	DEG10180179	3264490	3264917	3264481	3267468	cluster-7	t1pks-nrps	3238617-3290742	436	Actinoplanes teichomyceticus ATCC 31121	Actinobacteria	0	-1.00	2	8287152	True	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/CP023865/index.html
Hypothetical protein ydiO	LQPQ01000040	DEG10180282	73224	73650	65280	66518	cluster-1	t1pks	53221-99004	6706	Mycobacterium riyadhense	Actinobacteria	0	-1.00	1	99004	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LQPQ01000040/index.html
3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.60)	OFDO01000063	DEG10180156	6	459	3	6527	cluster-1	t1pks-PUFA	1-10234	456	metagenome	metagenomes	0	-1.00	1	10234	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/OFDO01000063/index.html
Arginine repressor	FO203510	DEG10180483	1938724	1939148	1934226	1934738	cluster-2	t3pks-t1pks	1917544-1975669	3986	Mycobacterium canettii CIPT 140070017	Actinobacteria	0	-1.00	1	4524466	True	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/FO203510_1641037_2102595/index.html
Glutamate aspartate transport ATP-binding protein gltL	NZ_RBNR01000155	DEG10180114	19577	19999	8597	10378	cluster-1	t1pks-nrps	1-44668	9199	Pseudomonas syringae pv. ribicola	Proteobacteria	0	-1.00	0	44668	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/NZ_RBNR01000155/index.html
3-oxoacyl-[acyl-carrier-protein] synthase III (EC 2.3.1.41)	PVGI01000048	DEG10180178	200010	200433	198509	199501	cluster-1	t1pks	160002-212122	509	Burkholderia ambifaria	Proteobacteria	0	-1.00	2	212122	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/PVGI01000048/index.html
Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)	NZ_KB905164	DEG10180179	94450	94906	94404	102644	cluster-1	t1pks-PUFA-otherks	65200-122644	502	Colwellia piezophila ATCC BAA-637	Proteobacteria	0	-1.00	0	362612	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/NZ_KB905164/index.html
3-oxoacyl-[acyl-carrier-protein] synthase I (EC 2.3.1.41)	NZ_PEFP01000001	DEG10180363	7277245	7277582	7277191	7278372	cluster-17	terpene-t1pks-otherks	7172498-7281086	391	Streptomyces sp. 61	Actinobacteria	0	-1.00	0	8055060	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/NZ_PEFP01000001/index.html
TorCAD operon transcriptional regulatory protein torR	AMBZ01000007	DEG10180164	275038	275460	269686	270381	cluster-2	t1pks-nrps	255004-311609	4657	Paenibacillus alvei DSM 29	Firmicutes	0	-1.00	2	390833	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/AMBZ01000007/index.html
30S ribosomal protein S14	JNZO01000016	DEG10180498	23	438	5404	5709	cluster-1	t1pks	1-23555	4966	Streptomyces flavochromogenes	Actinobacteria	0	-1.00	1	141805	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/JNZO01000016/index.html
Undecaprenyl pyrophosphate synthetase (EC 2.5.1.31)	BCMK01000022	DEG10180044	13036	13462	8837	9595	cluster-1	transatpks-nrps	1-85175	3441	Streptomyces acidiscabies	Actinobacteria	0	-1.00	1	102104	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/BCMK01000022/index.html
3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)	JPKY01000041	DEG10180180	60033	60451	52394	53463	cluster-1	terpene-t1pks	40008-106385	6570	Acremonium chrysogenum ATCC 11550	Fungi	0	-1.00	0	190480	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/JPKY01000041/index.html
Dihydrolipoamide succinyltransferase component of 2-oxoglutarate dehydrogenase complex (EC 2.3.1.61)	CP025939	DEG10180125	1888317	1888731	1878714	1880042	cluster-1	transatpks	1870973-1953659	8275	Bacillus velezensis	Firmicutes	0	-1.00	21	4326822	True	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP025939_1754675_2055937/index.html
Low molecular weight protein-tyrosine-phosphatase wzb (EC 3.1.3.48)	NZJC01000189	DEG10180335	16682	17110	12205	12843	cluster-1	t1pks	1-28045	3839	Deltaproteobacteria bacterium (marine metagenome)	Proteobacteria	0	-1.00	1	28045	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/NZJC01000189/index.html
Glutamate aspartate transport ATP-binding protein gltL	MKTV01000076	DEG10180114	43827	44250	37433	38491	cluster-1	t1pks	23727-62055	5336	Rhodospirillales bacterium 69-11 (bioreactor metagenome)	Proteobacteria	0	-1.00	1	62055	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/MKTV01000076/index.html
Hypothetical protein ydgE	NPCI01000001	DEG10180267	156106	156538	148564	148917	cluster-2	transatpks-nrps	135592-238187	7189	Bacillus siamensis	Firmicutes	0	-1.00	4	614379	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/NPCI01000001/index.html
Hypothetical transport protein yfaV	CP009176	DEG10180356	1888031	1888420	1896876	1898207	cluster-1	t3pks-t1pks	1854160-1912287	8456	Mycobacterium tuberculosis TRS21	Actinobacteria	0	-1.00	4	4411532	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP009176_1731926_2033059/index.html
3-oxoacyl-[acyl-carrier-protein] synthase I (EC 2.3.1.41)	FNTQ01000001	DEG10180363	1501642	1501981	1500312	1501583	cluster-2	t2pks-t1pks-nrps	1480312-1568757	59	Streptomyces sp. Ag109_O5-10	Actinobacteria	0	-1.00	3	9394050	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/FNTQ01000001_1350324_1696546/index.html
Glutamate-1-semialdehyde 2,1-aminomutase (EC 5.4.3.8)	FNJV01000003	DEG10180034	161753	162176	161135	167755	cluster-1	t1pks-nrps	134748-191789	1041	Mucilaginibacter sp. OK268	Bacteroidetes	0	-1.00	1	1046588	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/FNJV01000003_12986_314254/index.html
Vitamin B12 transport periplasmic protein btuE	HG964937	DEG10180286	853279	853704	845411	846097	cluster-3	t1pks	833266-878827	7182	Mycobacterium asiaticum DSM 44297	Actinobacteria	0	-1.00	1	1878264	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/HG964937_306422_1487921/index.html
Glutamate-1-semialdehyde 2,1-aminomutase (EC 5.4.3.8)	LOVL01000025	DEG10180034	40124	40548	40091	53485	cluster-1	transatpks-t1pks-nrps	1-155369	457	Burkholderia ubonensis	Proteobacteria	0	-1.00	1	371923	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LOVL01000025/index.html
3-oxoacyl-[acyl-carrier-protein] synthase III (EC 2.3.1.41)	NZ_JODF01000023	DEG10180178	18979	19326	20256	21290	cluster-1	bacteriocin-t2pks-t1pks-nrps	1-97116	930	Streptomyces sp. NRRL S-920	Actinobacteria	0	-1.00	0	97116	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/NZ_JODF01000023/index.html
3-oxoacyl-[acyl-carrier-protein] synthase I (EC 2.3.1.41)	AM746676	DEG10180363	4369617	4369949	4369542	4370774	cluster-1	transatpks-otherks	4349542-4478362	407	Sorangium cellulosum So ce56	Proteobacteria	0	-1.00	25	13033779	True	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/AM746676/index.html
Adenine phosphoribosyltransferase (EC 2.4.2.7)	NZ_CM001837	DEG10180087	2515458	2515916	2522543	2523055	cluster-3	t1pks-PUFA-otherks	2486195-2539990	6627	Dokdonia sp. PRO95	Bacteroidetes	0	-1.00	0	3305193	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/NZ_CM001837/index.html
3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)	NW_003345193	DEG10180180	219077	219501	213947	214961	cluster-1	t1pks	152401-244428	4116	Nannizzia gypsea CBS 118893	Fungi	0	-1.00	0	874323	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/NW_003345193/index.html
Hypothetical protein yliG	CP012109	DEG10180135	3953523	3953950	3943110	3944498	cluster-1	t1pks-nrps	3929723-4013404	9025	Myxococcus hansupus	Proteobacteria	0	-1.00	3	9490432	True	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP012109_3819538_4551708/index.html
Methyl-accepting chemotaxis protein III	BBSL01000075	DEG10180242	7443	7868	2198	3214	cluster-1	t1pks	1-24294	4229	Burkholderia sp. E7m39	Proteobacteria	0	-1.00	1	24294	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/BBSL01000075/index.html
Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)	BBYF01000010	DEG10180179	222010	222435	220674	221933	cluster-1	transatpks-nrps	191820-228105	77	Paenibacillus sp. NAIST15-1	Firmicutes	0	-1.00	1	228105	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/BBYF01000010/index.html
Methyl-accepting chemotaxis protein III	CP012747	DEG10180242	1542132	1542556	1537178	1538740	cluster-2	t1pks	1522110-1568496	3392	Paraburkholderia caribensis MBA4	Proteobacteria	0	-1.00	7	3352623	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP012747_1392170_1703781/index.html
UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9)	NZ_MCGQ01000026	DEG10180210	94380	94816	89966	90919	cluster-1	t1pks-otherks	73689-166306	3461	Streptomyces diastatochromogenes	Actinobacteria	0	-1.00	0	199314	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/NZ_MCGQ01000026/index.html
3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.60)	OUZS01000002	DEG10180156	25028	25482	25025	32230	cluster-1	t1pks-PUFA	5025-34896	457	marine metagenome	metagenomes	0	-1.00	1	34896	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/OUZS01000002/index.html
30S ribosomal protein S14	CP008965	DEG10180498	1689820	1689918	1698043	1698348	cluster-1	t1pks	1666468-1709815	8125	Mycobacterium tuberculosis	Actinobacteria	0	-1.00	1	4539435	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP008965_1534213_1839878/index.html
Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)	ASPU01000028	DEG10180179	55271	55693	53117	54322	cluster-1	transatpks-nrps	34595-96340	949	Paenibacillus sp. FSL H7-689	Firmicutes	0	-1.00	1	457184	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/ASPU01000028/index.html
Aspartyl-tRNA synthetase (EC 6.1.1.12)	LNZF01000002	DEG10180315	527401	527838	520487	522256	cluster-1	transatpks-otherks-nrps	506771-604332	5145	Paenibacillus polymyxa	Firmicutes	0	-1.00	2	1243531	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LNZF01000002_396764_721057/index.html
Hypothetical transport protein yeaN	KB903814	DEG10180304	395646	396067	402858	404033	cluster-2	lantipeptide-t1pks-nrps	346586-421689	6791	Longispora albida DSM 44784	Actinobacteria	0	-1.00	1	882321	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/KB903814/index.html
3-oxoacyl-[acyl-carrier-protein] synthase I (EC 2.3.1.41)	CP014782	DEG10180363	1986373	1986697	1986295	1987506	cluster-2	t1pks-nrps	1936387-1999536	402	Shewanella psychrophila	Proteobacteria	0	-1.00	3	6353406	True	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP014782_1812653_2137497/index.html
Chemotaxis motA protein	PVTN01000004	DEG10180321	103133	103561	96360	97226	cluster-1	t1pks	83118-135199	5907	Marivita geojedonensis	Proteobacteria	0	-1.00	1	284293	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/PVTN01000004/index.html
GTP cyclohydrolase I (EC 3.5.4.16)	CVTA01000033	DEG10180344	93492	93915	102628	103251	cluster-1	t3pks-t1pks	73362-154171	8713	Mycobacterium komaniense	Actinobacteria	0	-1.00	1	308953	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CVTA01000033/index.html
Ribulose-phosphate 3-epimerase (EC 5.1.3.1)	BDGW01000001	DEG10180517	99059	99475	90101	90787	cluster-1	t1pks	79059-185321	8272	Streptomyces luteocolor	Actinobacteria	0	-1.00	1	302959	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/BDGW01000001/index.html
