target_name	target id	gbid	score_final	distance	homologs	homologs list	target ubiquity	copy number	Spearman correlation	p value	coevolution coefficient	antismashfile	cluster_num	cluster_type	gene_name	species	phyla	true positive	true positives homologs	score distance	score homologs	score target ubiquity	score copy number	score coevolution
3-oxoacyl-[acyl-carrier-protein] synthase 1 (FabB/F)	PtmP3_FabB-F	FOAZ01000002	3	404	0	None	9	1	0.94	0.0	2.61984197663	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/FOAZ01000002/index.html	cluster-4	butyrolactone-terpene-t1pks-otherks	SAMN05414137_102592	Streptacidiphilus jiangxiensis	Actinobacteria	False	False	1	0	1	0	1
Isoleucyl tRNA synthetase	mupM_Ile-tRNA-syn	CP025542	2	2130	0	None	25	1	0.73	0.0	4.13036053918	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP025542_3889508_4252470/index.html	cluster-1	hserlactone-transatpks-otherks	ctg1_145	Pseudomonas fluorescens	Proteobacteria	False	False	1	0	0	0	1
Acetyl CoA carboxylase	AdmT_ACC	UGRU01000001	2	1088	1	[u'FMZZ01000007']	49	1	0.32	0.0	20.4092479111	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/UGRU01000001_2572926_3087430/index.html	cluster-3	t2pks-t1pks-nrps	ctg1_335	Nocardia africana	Actinobacteria	False	False	1	1	0	0	0
Acetyl CoA carboxylase	AdmT_ACC	CP011340	1	9684	1	[u'CP009438']	49	1	0.32	0.0	18.5612383015	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP011340_3911017_4219545/index.html	cluster-1	t1pks-otherks	ctg1_122	Streptomyces pristinaespiralis	Actinobacteria	False	False	0	1	0	0	0
Gyrase B	GyrB-R	FNPF01000009	1	7879	0	None	15	1	0.14	0.19	5.96189268265	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/FNPF01000009/index.html	cluster-1	t1pks	SAMN05444340_10933	Citreimonas salinaria	Proteobacteria	False	False	0	0	1	0	0
Acetyl CoA carboxylase	AdmT_ACC	PDDW01000001	2	3534	1	[u'BDBD01000011']	49	1	0.32	0.0	22.8803500117	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/PDDW01000001_1483836_1811273/index.html	cluster-1	nrps-t1pks-otherks	ctg1_148	Nocardia sp. FDAARGOS_372	Actinobacteria	False	False	1	1	0	0	0
Elongation factor Tu	EF-Tu	BAUL01000113	1	8371	0	None	16	1	0.24	0.01	11.5595365419	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/BAUL01000113/index.html	cluster-1	t1pks	PVAR5_3701	Byssochlamys spectabilis No. 5	Fungi	False	False	0	0	1	0	0
Ornitine carbamoyl transferase	ArgK_OTCase	LT841359	3	4621	14	[u'CP017593', u'JAGZ01000001', u'LQOK01000037', u'LQPF01000100', u'LZHV01000055', u'LZJH01000077', u'LZKE01000216', u'LZKS01000106', u'LZLE01000041', u'LZLX01000136', u'MIHB01000001', u'NCXP01000008', u'NKRB01000001', u'PEDJ01000075']	28	1	0.64	0.0	6.9511030882	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LT841359_2416829_2730680/index.html	cluster-1	t3pks-t1pks	ctg1_129	Mycobacterium sp. AFP003	Actinobacteria	False	False	1	1	0	0	1
Beta proteasome subunit	SalI_beta_proteasome	KQ949024	2	5855	1	[u'CP022161']	8	1	0.43	0.02	3.80780520975	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/KQ949024/index.html	cluster-6	transatpks-t1pks-nrps	AQJ58_09010	Streptomyces sp. DSM 15324	Actinobacteria	True	False	0	1	1	0	0
3-oxoacyl-[acyl-carrier-protein] synthase 1 (FabB/F)	PtmP3_FabB-F	KZ195583	5	398	2	[u'FQ859185', u'KB913022']	9	2	0.94	0.0	2.62099227583	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/KZ195583_6378092_6794013/index.html	cluster-2	t3pks-lantipeptide-t1pks-nrps	ctg1_229	Streptomyces sp. CS227	Actinobacteria	False	True	1	1	1	1	1
Acetyl CoA carboxylase	AdmT_ACC	AM420293	0	9435	0	None	49	1	0.32	0.0	24.291711524	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/AM420293/index.html	cluster-1	t1pks-otherks	SACE_0026	Saccharopolyspora erythraea NRRL 2338	Actinobacteria	False	False	0	0	0	0	0
Isoleucyl tRNA synthetase	mupM_Ile-tRNA-syn	CSTD01000001	2	4471	0	None	25	1	0.73	0.0	16.7040950538	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CSTD01000001_958965_1515846/index.html	cluster-3	t1pks-nrps	ctg1_310	Mycobacterium bohemicum DSM 44277	Actinobacteria	False	False	1	0	0	0	1
Acetyl CoA carboxylase	AdmT_ACC	FNQZ01000002	0	5097	0	None	49	1	0.32	0.0	14.2073444745	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/FNQZ01000002/index.html	cluster-1	t1pks-nrps	SAMN02910384_00775	Pseudobutyrivibrio sp. ACV-2	Firmicutes	False	False	0	0	0	0	0
Leucil-tRNA synthase	agnB2_Leu-tRNA-syn	CZLB01000430	2	1363	0	None	6	1	-0.22	0.42	11.581625819	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/CZLB01000430/index.html	cluster-1	t1pks	ctg1_2	soil metagenome	metagenomes	False	False	1	0	1	0	0
Acetyl CoA carboxylase	AdmT_ACC	CP004121	2	2852	0	None	49	2	0.32	0.0	12.930263772	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP004121_3030963_3351475/index.html	cluster-1	t1pks-nrps	ctg1_134	Clostridium saccharoperbutylacetonicum N1-4(HMT)	Firmicutes	False	False	1	0	0	1	0
Acetyl CoA carboxylase	AdmT_ACC	FMCV01000021	0	8865	0	None	49	1	0.32	0.0	17.0605479771	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/FMCV01000021/index.html	cluster-1	t2pks-t1pks-nrps	GA0070215_12138	Micromonospora marina	Actinobacteria	False	False	0	0	0	0	0
Isoleucyl tRNA synthetase	mupM_Ile-tRNA-syn	RCCW01000001	2	989	0	None	25	1	0.73	0.0	2.90601660471	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/RCCW01000001_4334878_4697781/index.html	cluster-1	hserlactone-nrps-transatpks-otherks	ctg1_149	Pseudomonas asplenii	Proteobacteria	False	False	1	0	0	0	1
Elongation factor Tu	EF-Tu	FQ859185	2	7117	0	None	16	3	0.24	0.01	20.4100274532	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/FQ859185_3649902_4006951/index.html	cluster-1	transatpks-t1pks-nrps	ctg1_132	Streptomyces cattleya NRRL 8057 = DSM 46488	Actinobacteria	False	False	0	0	1	1	0
Seryl-tRNA synthetase	seryl-tRNA_synthetase	LOCL01000028	2	9386	1	[u'CP010849']	19	1	0.3	0.0	23.5725120063	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LOCL01000028/index.html	cluster-1	t1pks-nrps	AT728_21290	Streptomyces silvensis	Actinobacteria	False	False	0	1	1	0	0
DNA polymerase sliding clamp	GriR_DnaN	LZIX01000058	3	8301	1	[u'LZKU01000124']	3	1	1.0	0.0	4.88380947597	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LZIX01000058/index.html	cluster-1	t1pks	A5704_11980	Mycobacterium sp. E735	Actinobacteria	False	False	0	1	1	0	1
Ornitine carbamoyl transferase	ArgK_OTCase	AZWL01000022	1	7325	0	None	28	1	0.64	0.0	13.2570568263	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/AZWL01000022/index.html	cluster-1	t1pks	ctg1_8	Streptomyces sp. CNH099	Actinobacteria	False	False	0	0	0	0	1
Methionine aminopeptidase	methionine_aminopeptidase	KP143770	0	8883	0	None	1	1	-1000.0	-1000.0	0.0	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/KP143770/index.html	cluster-1	t1pks-nrps	benI	Myxococcus virescens	Proteobacteria	False	False	0	0	0	0	0
3-oxoacyl-[acyl-carrier-protein] synthase 1 (FabB/F)	PtmP3_FabB-F	KE354369	5	374	1	[u'LN879416']	9	2	0.94	0.0	4.49321677528	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/KE354369/index.html	cluster-1	t1pks-nrps	STAFG_7039	Streptomyces afghaniensis 772	Actinobacteria	True	False	1	1	1	1	1
Ornitine carbamoyl transferase	ArgK_OTCase	LZKE01000216	3	4958	14	[u'CP017593', u'JAGZ01000001', u'LQOK01000037', u'LQPF01000100', u'LT841359', u'LZHV01000055', u'LZJH01000077', u'LZKS01000106', u'LZLE01000041', u'LZLX01000136', u'MIHB01000001', u'NCXP01000008', u'NKRB01000001', u'PEDJ01000075']	28	1	0.64	0.0	6.16015813977	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LZKE01000216/index.html	cluster-1	t3pks-t1pks	A5712_05855	Mycobacterium sp. E2327	Actinobacteria	False	False	1	1	0	0	1
Isoleucyl tRNA synthetase	mupM_Ile-tRNA-syn	MBEU01000014	3	3000	1	[u'LT968775']	25	1	0.73	0.0	12.5137542266	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/MBEU01000014/index.html	cluster-1	t1pks	A5747_08060	Mycobacterium sp. IS-836	Actinobacteria	False	False	1	1	0	0	1
Leucil-tRNA synthase	agnB2_Leu-tRNA-syn	PFGG01000041	2	4363	0	None	6	1	-0.22	0.42	4.66546276191	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/PFGG01000041/index.html	cluster-1	t1pks	COW20_09755	bacterium (Candidatus Blackallbacteria) CG13_big_fil_rev_8_21_14_2_50_49_14 (groundwater metagenome)	None	False	False	1	0	1	0	0
Seryl-tRNA synthetase	seryl-tRNA_synthetase	CP010849	3	3703	1	[u'LOCL01000028']	19	1	0.3	0.0	24.4393219434	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP010849_59438_360715/index.html	cluster-1	t1pks-nrps	ctg1_130	Streptomyces cyaneogriseus subsp. noncyanogenus	Actinobacteria	False	False	1	1	1	0	0
Isoleucyl tRNA synthetase	mupM_Ile-tRNA-syn	NOZR01000005	2	8384	2	[u'CP019882', u'LN929908']	25	1	0.73	0.0	12.262277951	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/NOZR01000005/index.html	cluster-1	t1pks	CG716_07715	Mycolicibacterium sphagni	Actinobacteria	False	False	0	1	0	0	1
Elongation factor Tu	EF-Tu	NZ_LBDA02000011	3	4007	3	[u'CP022433', u'JOCB01000044', u'QTUG01000001']	16	0	0.24	0.01	18.5695446603	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/NZ_LBDA02000011/index.html	cluster-1	t1pks-otherks	VT52_RS05855	Streptomyces malaysiense	Actinobacteria	False	False	1	1	1	0	0
Isoleucyl tRNA synthetase	mupM_Ile-tRNA-syn	LZLM01000005	3	3146	5	[u'LQPQ01000178', u'LZLF01000227', u'LZLS01000103', u'MAEM01000259', u'NCXP01000025']	25	1	0.73	0.0	12.4280510742	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LZLM01000005/index.html	cluster-1	t1pks-nrps	A5640_23330	Mycobacterium asiaticum	Actinobacteria	False	False	1	1	0	0	1
Acetyl CoA carboxylase	AdmT_ACC	JODC01000026	1	9148	1	[u'CP009438']	49	1	0.32	0.0	23.0546922488	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/JODC01000026/index.html	cluster-1	t1pks-otherks	ctg1_61	Streptomyces sp. NRRL S-646	Actinobacteria	False	False	0	1	0	0	0
Seryl-tRNA synthetase	seryl-tRNA_synthetase	JAIZ01000146	1	7588	0	None	19	1	0.3	0.0	24.4670844564	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/JAIZ01000146/index.html	cluster-1	t1pks	ctg1_1	Kitasatospora sp. MBT63	Actinobacteria	False	False	0	0	1	0	0
Ornitine carbamoyl transferase	ArgK_OTCase	GG663497	2	4490	0	None	28	1	0.64	0.0	41.8683090136	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/GG663497_2192919_2494160/index.html	cluster-1	t3pks-t1pks	ctg1_136	Mycobacterium tuberculosis CPHL_A	Actinobacteria	False	False	1	0	0	0	1
Acetyl CoA carboxylase	AdmT_ACC	KZ559477	1	3584	0	None	49	1	0.32	0.0	17.2247564917	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/KZ559477/index.html	cluster-1	t2pks-t1pks-nrps	ctg1_170	Nonomuraea indica	Actinobacteria	False	False	1	0	0	0	0
Seryl-tRNA synthetase	seryl-tRNA_synthetase	CM003601	3	859	1	[u'JQLN01000002']	19	1	0.3	0.0	16.8391892598	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CM003601_4056669_4759610/index.html	cluster-1	t1pks	ctg1_189	Streptomyces anulatus	Actinobacteria	False	False	1	1	1	0	0
Gyrase B	GyrB-R	CP007219	2	5124	0	None	15	2	0.14	0.19	10.1139179421	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP007219_5980766_6324224/index.html	cluster-2	t1pks-arylpolyene	ctg1_152	Amycolatopsis lurida NRRL 2430	Actinobacteria	False	False	0	0	1	1	0
Ornitine carbamoyl transferase	ArgK_OTCase	CP019887	2	7554	2	[u'NKRB01000001', u'PEDJ01000075']	28	1	0.64	0.0	14.4213382517	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP019887_6056290_6363417/index.html	cluster-1	t3pks-t1pks	ctg1_117	Mycobacterium kansasii	Actinobacteria	False	False	0	1	0	0	1
Acetyl CoA carboxylase	AdmT_ACC	LZYT01000003	0	6960	0	None	49	1	0.32	0.0	11.6485196758	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LZYT01000003/index.html	cluster-1	sactipeptide-transatpks-nrps	CLFE_10230	Clostridium felsineum DSM 794	Firmicutes	False	False	0	0	0	0	0
3-oxoacyl-[acyl-carrier-protein] synthase 1 (FabB/F)	PtmP3_FabB-F	LN879416	5	381	1	[u'KE354369']	9	2	0.94	0.0	4.60818116484	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/LN879416/index.html	cluster-1	t1pks-nrps	ssuF1	Streptomyces sp. MG11	Actinobacteria	False	True	1	1	1	1	1
Ornitine carbamoyl transferase	ArgK_OTCase	NKRB01000001	3	4492	15	[u'CP017593', u'CP019887', u'JAGZ01000001', u'LQOK01000037', u'LQPF01000100', u'LT841359', u'LZHV01000055', u'LZJH01000077', u'LZKE01000216', u'LZKS01000106', u'LZLE01000041', u'LZLX01000136', u'MIHB01000001', u'NCXP01000008', u'PEDJ01000075']	28	1	0.64	0.0	6.52355542349	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/NKRB01000001_5993219_6287192/index.html	cluster-1	t3pks-t1pks	ctg1_122	Mycobacterium kansasii	Actinobacteria	False	False	1	1	0	0	1
Gyrase B	GyrB-R	MPMZ01000016	2	416	0	None	15	1	0.14	0.19	8.71872915668	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/MPMZ01000016/index.html	cluster-1	t1pks	ctg1_29	Nitrospira sp. bin75 (sponge metagenome)	Nitrospirae	False	False	1	0	1	0	0
Gyrase B	GyrB-R	NQJM01000001	2	6959	0	None	15	2	0.14	0.19	4.01162922906	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/NQJM01000001_3204582_3518107/index.html	cluster-1	t1pks-nrps	ctg1_153	Erwinia amylovora	Proteobacteria	False	False	0	0	1	1	0
Elongation factor Tu	EF-Tu	KZ679048	1	9887	0	None	16	1	0.24	0.01	19.5191532227	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/KZ679048/index.html	cluster-3	t1pks	C6Y14_27630	Streptomyces sp. A217	Actinobacteria	False	False	0	0	1	0	0
Isoleucyl tRNA synthetase	mupM_Ile-tRNA-syn	MVHT01000008	1	5266	0	None	25	1	0.73	0.0	-1000.0	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/MVHT01000008/index.html	cluster-1	t1pks	BST27_04690	Mycobacterium intermedium	Actinobacteria	False	False	0	0	0	0	1
DNA polymerase sliding clamp	GriR_DnaN	LISY01000001	3	7853	0	None	3	2	1.0	0.0	4.95503438547	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LISY01000001_461406_841961/index.html	cluster-1	ectoine-arylpolyene-t1pks-nrps-butyrolactone-ladderane	ctg1_152	Streptomyces sp. TSRI0261	Actinobacteria	False	False	0	0	1	1	1
3-oxoacyl-[acyl-carrier-protein] synthase 1 (FabB/F)	PtmP3_FabB-F	CM002280	4	400	0	None	9	4	0.94	0.0	3.90153177439	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CM002280_203587_845247/index.html	cluster-3	t1pks-terpene	ctg1_235	Streptomyces niveus NCIMB 11891	Actinobacteria	False	False	1	0	1	1	1
Gyrase B	GyrB-R	CP022088	2	9933	0	None	15	2	0.14	0.19	-1000.0	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP022088_221439_588841/index.html	cluster-1	t1pks	ctg1_129	Nocardia brasiliensis	Actinobacteria	False	False	0	0	1	1	0
Acetyl CoA carboxylase	AdmT_ACC	MOMC01000016	0	5228	0	None	49	1	0.32	0.0	20.0882323909	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/MOMC01000016/index.html	cluster-1	t1pks-otherks	BL253_09600	Frankia asymbiotica	Actinobacteria	False	False	0	0	0	0	0
Ornitine carbamoyl transferase	ArgK_OTCase	KK338939	3	4495	3	[u'CP008971', u'CP017593', u'JAGZ01000001']	28	1	0.64	0.0	14.3863647657	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/KK338939_1723693_2025030/index.html	cluster-2	t3pks-t1pks	ctg1_122	Mycobacterium tuberculosis variant africanum MAL010120	Actinobacteria	False	False	1	1	0	0	1
Ornitine carbamoyl transferase	ArgK_OTCase	NZ_JFKA01000009	1	7288	0	None	28	0	0.64	0.0	10.3558090029	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/NZ_JFKA01000009/index.html	cluster-1	t1pks-nrps	TMES_RS16945	Thalassospira mesophila	Proteobacteria	False	False	0	0	0	0	1
Ornitine carbamoyl transferase	ArgK_OTCase	AEYX01000042	1	5826	0	None	28	1	0.64	0.0	15.2441229174	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/AEYX01000042/index.html	cluster-2	t1pks	SGM_4903	Streptomyces griseoaurantiacus M045	Actinobacteria	False	False	0	0	0	0	1
Acetyl CoA carboxylase	AdmT_ACC	CP026304	2	3548	1	[u'PEFS01000001']	49	1	0.32	0.0	15.0245014417	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/CP026304/index.html	cluster-2	t2pks-t1pks-arylpolyene-nrps	SLUN_33575	Streptomyces lunaelactis	Actinobacteria	False	False	1	1	0	0	0
Gyrase B	GyrB-R	CP020892	2	5908	0	None	15	2	0.14	0.19	10.7843184562	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP020892_0_173556/index.html	cluster-1	t1pks	ctg1_9	Pseudomonas sp. M30-35	Proteobacteria	False	False	0	0	1	1	0
Ornitine carbamoyl transferase	ArgK_OTCase	CPFB01000005	2	4674	0	None	28	1	0.64	0.0	-1000.0	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CPFB01000005/index.html	cluster-1	t3pks-t1pks	ERS181525_00858	Mycobacterium tuberculosis	Actinobacteria	False	False	1	0	0	0	1
