target_name		gbid	score_final	antismashfile	cluster_num	cluster_type	distance	species	phyla	homologs	homologs_list	pident_list	redundant	target count 	copynum	coevolution score	in pos set	in pos set homologs	in pos set redundnat
Acetylornithine/succinyldiaminopimelate aminotransferase	sp_P18335_ARGD_ECOLI	CP013442	55	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP013442/index.html	cluster-1	bacteriocin-t1pks-nrps	4642	Burkholderia cepacia	Proteobacteria	3	"[u'CP013392', u'CP013405', u'NKFM01000062']"	55	"[u'ABBE01000764', u'CP009487', u'CP013368', u'CP013445', u'CP013465', u'JRFO01000005', u'LNJU01000004', u'LOTM01000036', u'LOTO01000012', u'LOVI01000073', u'LOVL01000025', u'LOVP01000079', u'LOVR01000062', u'LOXM01000119', u'LOZJ01000091', u'LPAK01000053', u'LPBH01000001', u'LPBJ01000104', u'LPBW01000066', u'LPBY01000058', u'LPCC01000023', u'LPDO01000022', u'LPDY01000079', u'LPEA01000088', u'LPEC01000052', u'LPEH01000089', u'LPEP01000065', u'LPFC01000091', u'LPFE01000058', u'LPFP01000076', u'LPFY01000022', u'LPFZ01000051', u'LPGB01000072', u'LPGN01000004', u'LPHJ01000104', u'LPHR01000070', u'LPIP01000016', u'LPIU01000016', u'LPJF01000052', u'LPJH01000050', u'LPKF01000029', u'LPLF01000054', u'MEAS01000041', u'MEAU01000031', u'MEAX01000018', u'MEBC01000001', u'MEBE01000001', u'MEBF01000045', u'MEBJ01000034', u'MEBK01000023', u'MEBL01000034', u'MECN01000002', u'NQNB01000067', u'NQNC01000002']"	85	1	6.014730133	FALSE	FALSE	FALSE
Periplasmic serine endoprotease DegP	sp_P0C0V0_DEGP_ECOLI	QXGS01000002	55	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/QXGS01000002/index.html	cluster-1	t1pks	4757	Roseomonas sp. CPCC 101021	Proteobacteria	0	[]	1	[]	4	1	2.63230143	FALSE	FALSE	FALSE
Glutamine--fructose-6-phosphate aminotransferase [isomerizing]	sp_P17169_GLMS_ECOLI	CP007219	60	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP007219_8638880_8987656/index.html	cluster-2	t1pks	4035	Amycolatopsis lurida NRRL 2430	Actinobacteria	0	[]	1	[]	7	2	4.61816343	FALSE	FALSE	FALSE
Elongation factor Tu 1	sp_P0CE47_EFTU1_ECOLI	NZ_MCGQ01000026	20	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/NZ_MCGQ01000026/index.html	cluster-1	t1pks-otherks	3509	Streptomyces diastatochromogenes	Actinobacteria	-1	[]	-1	[]	0	0	-1	FALSE	FALSE	FALSE
Glutamine--fructose-6-phosphate aminotransferase [isomerizing]	sp_P17169_GLMS_ECOLI	MEFP01000012	55	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/MEFP01000012/index.html	cluster-1	t1pks-nrps	2079	Xanthomonadaceae bacterium SCN 69-320 (bioreactor metagenome)	Proteobacteria	0	[]	1	[]	7	1	8.660449425	FALSE	FALSE	FALSE
Phosphoenolpyruvate carboxylase	tr_E2QIY7_E2QIY7_ECOLX	LZHZ01000067	55	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LZHZ01000067/index.html	cluster-1	t1pks-nrps	2304	Mycobacterium sp. ACS1612	Actinobacteria	0	[]	1	[]	3	1	3.645627799	FALSE	FALSE	FALSE
Acetylornithine/succinyldiaminopimelate aminotransferase	sp_P18335_ARGD_ECOLI	MEAX01000018	55	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/MEAX01000018/index.html	cluster-1	bacteriocin-transatpks-t1pks-nrps	4642	Burkholderia ubonensis	Proteobacteria	3	"[u'CP013392', u'CP013405', u'NKFM01000062']"	55	"[u'ABBE01000764', u'CP009487', u'CP013368', u'CP013442', u'CP013445', u'CP013465', u'JRFO01000005', u'LNJU01000004', u'LOTM01000036', u'LOTO01000012', u'LOVI01000073', u'LOVL01000025', u'LOVP01000079', u'LOVR01000062', u'LOXM01000119', u'LOZJ01000091', u'LPAK01000053', u'LPBH01000001', u'LPBJ01000104', u'LPBW01000066', u'LPBY01000058', u'LPCC01000023', u'LPDO01000022', u'LPDY01000079', u'LPEA01000088', u'LPEC01000052', u'LPEH01000089', u'LPEP01000065', u'LPFC01000091', u'LPFE01000058', u'LPFP01000076', u'LPFY01000022', u'LPFZ01000051', u'LPGB01000072', u'LPGN01000004', u'LPHJ01000104', u'LPHR01000070', u'LPIP01000016', u'LPIU01000016', u'LPJF01000052', u'LPJH01000050', u'LPKF01000029', u'LPLF01000054', u'MEAS01000041', u'MEAU01000031', u'MEBC01000001', u'MEBE01000001', u'MEBF01000045', u'MEBJ01000034', u'MEBK01000023', u'MEBL01000034', u'MECN01000002', u'NQNB01000067', u'NQNC01000002']"	85	1	5.703235812	FALSE	FALSE	FALSE
"1,4-dihydroxy-2-naphthoyl-CoA hydrolase"	sp_P77781_MENI_ECOLI	BBPD01001273	55	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/BBPD01001273/index.html	cluster-1	t1pks	1531	groundwater metagenome	metagenomes	0	[]	1	[]	4	1	7.181062645	FALSE	FALSE	FALSE
Elongation factor Tu 1	sp_P0CE47_EFTU1_ECOLI	MTKC01000001	25	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/MTKC01000001_240108_546453/index.html	cluster-1	t1pks-otherks	4547	Streptomyces griseofuscus	Actinobacteria	-1	[]	-1	[]	0	1	-1	FALSE	FALSE	FALSE
Acetylornithine/succinyldiaminopimelate aminotransferase	sp_P18335_ARGD_ECOLI	LPLF01000054	60	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LPLF01000054/index.html	cluster-1	transatpks-t1pks-nrps	4642	Burkholderia ubonensis	Proteobacteria	3	"[u'CP013392', u'CP013405', u'NKFM01000062']"	55	"[u'ABBE01000764', u'CP009487', u'CP013368', u'CP013442', u'CP013445', u'CP013465', u'JRFO01000005', u'LNJU01000004', u'LOTM01000036', u'LOTO01000012', u'LOVI01000073', u'LOVL01000025', u'LOVP01000079', u'LOVR01000062', u'LOXM01000119', u'LOZJ01000091', u'LPAK01000053', u'LPBH01000001', u'LPBJ01000104', u'LPBW01000066', u'LPBY01000058', u'LPCC01000023', u'LPDO01000022', u'LPDY01000079', u'LPEA01000088', u'LPEC01000052', u'LPEH01000089', u'LPEP01000065', u'LPFC01000091', u'LPFE01000058', u'LPFP01000076', u'LPFY01000022', u'LPFZ01000051', u'LPGB01000072', u'LPGN01000004', u'LPHJ01000104', u'LPHR01000070', u'LPIP01000016', u'LPIU01000016', u'LPJF01000052', u'LPJH01000050', u'LPKF01000029', u'MEAS01000041', u'MEAU01000031', u'MEAX01000018', u'MEBC01000001', u'MEBE01000001', u'MEBF01000045', u'MEBJ01000034', u'MEBK01000023', u'MEBL01000034', u'MECN01000002', u'NQNB01000067', u'NQNC01000002']"	85	2	5.706609148	FALSE	FALSE	FALSE
Acetylornithine/succinyldiaminopimelate aminotransferase	sp_P18335_ARGD_ECOLI	MECN01000002	60	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/MECN01000002/index.html	cluster-2	t1pks-arylpolyene-nrps	4633	Burkholderia ubonensis	Proteobacteria	1	[u'CP013405']	57	"[u'ABBE01000764', u'CP009487', u'CP013368', u'CP013392', u'CP013442', u'CP013445', u'CP013465', u'JRFO01000005', u'LNJU01000004', u'LOTM01000036', u'LOTO01000012', u'LOVI01000073', u'LOVL01000025', u'LOVP01000079', u'LOVR01000062', u'LOXM01000119', u'LOZJ01000091', u'LPAK01000053', u'LPBH01000001', u'LPBJ01000104', u'LPBW01000066', u'LPBY01000058', u'LPCC01000023', u'LPDO01000022', u'LPDY01000079', u'LPEA01000088', u'LPEC01000052', u'LPEH01000089', u'LPEP01000065', u'LPFC01000091', u'LPFE01000058', u'LPFP01000076', u'LPFY01000022', u'LPFZ01000051', u'LPGB01000072', u'LPGN01000004', u'LPHJ01000104', u'LPHR01000070', u'LPIP01000016', u'LPIU01000016', u'LPJF01000052', u'LPJH01000050', u'LPKF01000029', u'LPLF01000054', u'MEAS01000041', u'MEAU01000031', u'MEAX01000018', u'MEBC01000001', u'MEBE01000001', u'MEBF01000045', u'MEBJ01000034', u'MEBK01000023', u'MEBL01000034', u'NKFM01000062', u'NQNB01000067', u'NQNC01000002']"	85	2	5.88339579	FALSE	FALSE	FALSE
Transcriptional regulatory protein WalR	sp_Q9RDT5_WALR_STAAU	KB908269	35	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/KB908269/index.html	cluster-1	t1pks	2581	Mycobacterium sp. 141	Actinobacteria	0	[]	1	[]	52	1	10.83082913	FALSE	FALSE	FALSE
UDP-3-O-acyl-N-acetylglucosamine deacetylase	sp_P0A725_LPXC_ECOLI	RAIM01000002	45	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/RAIM01000002_4260440_4561723/index.html	cluster-1	t1pks	4	Paraburkholderia sediminicola	Proteobacteria	31	"[u'AP013062', u'CP013730', u'CP015033', u'CP015036', u'CP016442', u'CP023522', u'CP029824', u'FNCJ01000011', u'FUZW01000002', u'FXAT01000008', u'JPGM01000008', u'JSZN01000033', u'KI421535', u'KN150849', u'KN150939', u'LAVN01000003', u'LDWR01000005', u'LOWB01000076', u'LOWV01000038', u'LOYC01000030', u'LOYN01000022', u'LPCO01000066', u'LPEQ01000122', u'LPKA01000024', u'LR025742', u'ML058600', u'NBSQ01000002', u'OEOG01000026', u'PVGX01000094', u'PVHJ01000137', u'QJSQ01000029']"	3	"[u'BBJF01000005', u'CP017562']"	37	1	11.07618573	FALSE	FALSE	FALSE
Aminodeoxychorismate synthase component 1	sp_P05041_PABB_ECOLI	CP005929	50	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP005929_3055890_3971506/index.html	cluster-1	t1pks-nrps	118	Actinoplanes sp. N902-109	Actinobacteria	0	[]	1	[]	2	2	12.43777061	FALSE	FALSE	FALSE
Elongation factor P	sp_P0A6N4_EFP_ECOLI	CP010271	50	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP010271_2441763_3055152/index.html	cluster-1	t2pks-t1pks	3957	Mycobacterium saopaulense	Actinobacteria	0	[]	1	[]	3	1	7.888765244	FALSE	FALSE	FALSE
"1,4-dihydroxy-2-naphthoyl-CoA synthase"	sp_P0ABU0_MENB_ECOLI	JNLT01000017	55	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/JNLT01000017/index.html	cluster-2	t3pks-ladderane-t1pks-nrps	4209	Streptomyces sp. CNS654	Actinobacteria	0	[]	5	"[u'BBOK01000004', u'BDJC01000003', u'JOGJ01000001', u'OLMK01000009']"	9	1	7.052354769	FALSE	FALSE	FALSE
Transcription termination factor Rho	sp_P0AG30_RHO_ECOLI	PLPD01000129	55	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/PLPD01000129/index.html	cluster-1	t1pks	2131	Acidobacteriaceae bacterium (peat metagenome)	Acidobacteria	1	[u'PMHA01000332']	1	[]	4	1	15.55899476	FALSE	FALSE	FALSE
"1,4-dihydroxy-2-naphthoyl-CoA synthase"	sp_P0ABU0_MENB_ECOLI	LOKT01000003	30	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LOKT01000003/index.html	cluster-2	t1pks-terpene-nrps	1172	Nocardia donostiensis	Actinobacteria	-1	[]	-1	[]	0	2	-1	FALSE	FALSE	FALSE
Serine--tRNA ligase	sp_P0A8L1_SYS_ECOLI	CP006259	50	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP006259_6297870_6608974/index.html	cluster-2	t1pks	1638	Streptomyces collinus Tu 365	Actinobacteria	2	"[u'CP015588', u'JODF01000057']"	27	"[u'BA000030', u'BBNN01000050', u'CP016279', u'FKJI03000004', u'FNTD01000004', u'GV586860', u'JOCT01000005', u'JOIZ01000010', u'JOJB01000034', u'KL591194', u'KN039947', u'KQ948030', u'KQ948851', u'LBDA02000024', u'LGDV01000038', u'LGKJ01000215', u'MCGQ01000010', u'MLYN01000035', u'MLYO01000016', u'MQUS01000035', u'MTKC01000003', u'NZ_KN039947', u'PHUI01000001', u'PJMO01000001', u'QLLW01000001', u'QXCZ01000001']"	44	2	10.68055163	FALSE	FALSE	FALSE
Acetylornithine/succinyldiaminopimelate aminotransferase	sp_P18335_ARGD_ECOLI	DIYQ01000012	35	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/DIYQ01000012/index.html	cluster-1	t1pks	3567	Cyanobacteria bacterium UBA6050 (coral metagenome)	Cyanobacteria	0	[]	2	[u'DIYT01000049']	85	1	12.82490664	FALSE	FALSE	FALSE
Aminodeoxychorismate synthase component 1	sp_P05041_PABB_ECOLI	CP019724	60	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/CP019724/index.html	cluster-2	indole-t1pks	4592	Streptomyces pactum	Actinobacteria	58	"[u'AMPN02000002', u'AMPN02000002', u'CM002271', u'CM002271', u'CP004370', u'CP004370', u'CP009802', u'CP009802', u'CP014485', u'CP014485', u'CP016824', u'CP016824', u'CP029338', u'CP031742', u'DS999645', u'FMBX01000003', u'FMCF01000008', u'FR873698', u'JHDU01000020', u'JNZI01000016', u'JOGQ01000019', u'JOGU01000015', u'JOIZ01000015', u'JTCK01000028', u'KB890710', u'KB898240', u'KN549162', u'KV861362', u'KZ195583', u'LAYX01000019', u'LLZL01000002', u'LMTQ02000032', u'MNPQ01000024', u'NZ_AZYD01000015', u'UHID01000005', u'CP029338', u'CP031742', u'DS999645', u'FMBX01000003', u'FMCF01000008', u'FR873698', u'JHDU01000020', u'JNZI01000016', u'JOGQ01000019', u'JOGU01000015', u'JOIZ01000015', u'JTCK01000028', u'KB890710', u'KB898240', u'KN549162', u'KV861362', u'KZ195583', u'LAYX01000019', u'LLZL01000002', u'LMTQ02000032', u'MNPQ01000024', u'NZ_AZYD01000015', u'UHID01000005']"	7	"[u'BBNN01000039', u'BBNN01000039', u'JOFW01000016', u'JOFW01000016']"	137	2	9.827619299	FALSE	FALSE	FALSE
Threonine--tRNA ligase	sp_P0A8M3_SYT_ECOLI	AXAM01000058	55	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/AXAM01000058/index.html	cluster-1	t1pks-otherks	1638	Desulfosarcina sp. BuS5	Proteobacteria	0	[]	1	[]	2	1	6.044284859	FALSE	FALSE	FALSE
Transcriptional regulatory protein WalR	sp_Q9RDT5_WALR_STAAU	BBCM01000004	50	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/BBCM01000004/index.html	cluster-1	t1pks-nrps	3511	[Clostridium] straminisolvens JCM 21531	Firmicutes	0	[]	1	[]	52	2	7.181926559	FALSE	FALSE	FALSE
Phenylalanine--tRNA ligase alpha subunit	sp_P08312_SYFA_ECOLI	KB913032	45	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/KB913032_279570_639178/index.html	cluster-2	t1pks	4196	Amycolatopsis alba DSM 44262	Actinobacteria	0	[]	1	[]	2	1	12.8380815	FALSE	FALSE	FALSE
Acetylornithine/succinyldiaminopimelate aminotransferase	sp_P18335_ARGD_ECOLI	NZ_PEKU01000015	30	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/NZ_PEKU01000015/index.html	cluster-1	t1pks-nrps	993	Streptomyces sp. JV178	Actinobacteria	0	[]	1	[]	85	0	15.24284522	FALSE	FALSE	FALSE
Lon protease	sp_P0A9M0_LON_ECOLI	PDZT01000002	30	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/PDZT01000002/index.html	cluster-1	t1pks-nrps	1974	Deltaproteobacteria bacterium YD0425bin50 (sediment metagenome)	Proteobacteria	0	[]	1	[]	1	2	0	FALSE	FALSE	FALSE
Aminodeoxychorismate synthase component 2	sp_P00903_PABA_ECOLI	NQOS01000067	55	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/NQOS01000067/index.html	cluster-1	t1pks	842	Streptomyces sp. Alain-F2R5	Actinobacteria	0	[]	1	[]	10	1	5.508678706	FALSE	FALSE	FALSE
Aminodeoxychorismate synthase component 1	sp_P05041_PABB_ECOLI	RAVX01000005	45	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/RAVX01000005/index.html	cluster-4	t1pks-nrps	479	Corallococcus sp. AB011P	Proteobacteria	0	[]	2	[u'CP003389']	69	1	7.835528092	FALSE	FALSE	FALSE
Alanine racemase	sp_P0A6B4_ALR1_ECOLI	FZPS01000072	60	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/FZPS01000072/index.html	cluster-1	t1pks	4413	metagenome	metagenomes	0	[]	1	[]	3	8	3.561433123	FALSE	FALSE	FALSE
Aminodeoxychorismate synthase component 2	sp_P00903_PABA_ECOLI	LOCL01000048	25	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LOCL01000048/index.html	cluster-1	t1pks-arylpolyene-nrps	4199	Streptomyces silvensis	Actinobacteria	-1	[]	-1	[]	0	1	-1	FALSE	FALSE	FALSE
Transcriptional regulatory protein WalR	sp_Q9RDT5_WALR_STAAU	KL574155	45	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/KL574155/index.html	cluster-1	t1pks-otherks	4206	Streptomyces sp. NRRL B-24501	Actinobacteria	0	[]	3	"[u'BARF01000097', u'NZ_BARF01000097']"	52	1	4.864718209	FALSE	FALSE	FALSE
Peptide deformylase	sp_P0A6K3_DEF_ECOLI	QMDO01000001	55	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/QMDO01000001_1135332_1505440/index.html	cluster-1	transatpks-otherks-nrps	152	Vallitalea guaymasensis	Firmicutes	0	[]	1	[]	3	1	1.356193043	FALSE	FALSE	FALSE
UDP-3-O-acyl-N-acetylglucosamine deacetylase	sp_P0A725_LPXC_ECOLI	CP001068	50	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP001068_822533_1378034/index.html	cluster-1	t1pks	4	Ralstonia pickettii 12J	Proteobacteria	0	[]	1	[]	37	2	9.4840396	FALSE	FALSE	FALSE
UDP-3-O-acyl-N-acetylglucosamine deacetylase	sp_P0A725_LPXC_ECOLI	LOYC01000030	60	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LOYC01000030/index.html	cluster-1	t1pks	1	Burkholderia sp. MSMB1072	Proteobacteria	18	"[u'AP013062', u'BBJF01000005', u'CP017562', u'CP023522', u'FNCJ01000011', u'FUZW01000002', u'FXAT01000008', u'JSZN01000033', u'KN150849', u'LAVN01000003', u'LOWB01000076', u'LPCO01000066', u'LPEQ01000122', u'LPKA01000024', u'ML058600', u'NBSQ01000002', u'QJSQ01000029', u'RAIM01000002']"	16	"[u'CP013730', u'CP015033', u'CP015036', u'CP016442', u'CP029824', u'JPGM01000008', u'KI421535', u'KN150939', u'LDWR01000005', u'LOWV01000038', u'LOYN01000022', u'LR025742', u'OEOG01000026', u'PVGX01000094', u'PVHJ01000137']"	37	2	5.32774964	FALSE	FALSE	FALSE
