target_name	target id	gbid	score_final	distance	homologs	homologs list	target ubiquity	copy number	Spearman correlation	p value	coevolution coefficient	antismashfile	cluster_num	cluster_type	gene_name	species	phyla	true positive	true positives homologs	score distance	score homologs	score target ubiquity	score copy number	score coevolution
Adenosylmethionine-8-amino-7-oxononanoate aminotransferase	sp_P12995_BIOA_ECOLI	PJMT01000001	1	8640	0	None	29	3	0.49	0.0	6.05243136875	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/PJMT01000001_8209404_8663136/index.html	cluster-2	transatpks-nrps	ctg1_136	Streptomyces sp. GP55	Actinobacteria	False	False	0	0	0	1	0
Transcriptional regulatory protein WalR	sp_Q9RDT5_WALR_STAAU	BBCM01000004	2	3511	0	None	72	2	0.39	0.0	6.91677548014	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/BBCM01000004/index.html	cluster-1	t1pks-nrps	ctg1_63	[Clostridium] straminisolvens JCM 21531	Firmicutes	False	False	1	0	0	1	0
Transcriptional regulatory protein WalR	sp_Q9RDT5_WALR_STAAU	LT594324	1	8593	0	None	72	19	0.39	0.0	7.42715652736	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LT594324_1786519_2332539/index.html	cluster-5	t1pks-nrps	ctg1_286	Micromonospora narathiwatensis	Actinobacteria	False	False	0	0	0	1	0
Glutamine--fructose-6-phosphate aminotransferase [isomerizing]	sp_P17169_GLMS_ECOLI	KK037166	3	7584	1	[u'CP007155']	12	2	0.71	0.07	2.73312200461	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/KK037166_6222412_6528512/index.html	cluster-1	t1pks-otherks	ctg1_147	Kutzneria sp. 744	Actinobacteria	False	False	0	1	1	1	0
Adenosylmethionine-8-amino-7-oxononanoate aminotransferase	sp_P12995_BIOA_ECOLI	MPMV01000001	1	1477	0	None	29	1	0.49	0.0	8.66541864908	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/MPMV01000001/index.html	cluster-2	t1pks	ctg1_174	bacterium EF100-94H03 bin56 (sponge metagenome)	None	False	False	1	0	0	0	0
Aminodeoxychorismate synthase component 2	sp_P00903_PABA_ECOLI	NYMS01000020	0	9407	0	None	24	1	0.42	0.0	4.52572867483	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/NYMS01000020/index.html	cluster-1	t1pks-nrps	CQJ94_11315	Glycomyces fuscus	Actinobacteria	False	False	0	0	0	0	0
Aspartyl-tRNA synthetase	DEG10180315	UGSC01000001	3	5132	0	None	10	2	0.63	0.04	8.23203748336	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/UGSC01000001_3669484_4026323/index.html	cluster-1	transatpks-otherks-nrps	ctg1_127	Paenibacillus polymyxa	Firmicutes	False	False	0	0	1	1	1
Acetylornithine/succinyldiaminopimelate aminotransferase	sp_P18335_ARGD_ECOLI	NZ_UPHU01000001	2	5415	16	[u'CP008963', u'CP019887', u'CP022927', u'LQOK01000037', u'LQPF01000100', u'LQPJ01000141', u'LZKE01000216', u'LZKS01000106', u'LZLE01000041', u'LZLX01000136', u'MBEU01000059', u'MIHB01000001', u'MVIK01000003', u'NAVI01000034', u'NCXP01000008', u'PEDE01000109']	56	0	0.63	0.0	9.40968168388	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/NZ_UPHU01000001/index.html	cluster-9	t3pks-t1pks	ctg1_2675	Mycobacterium sp. MK142	Actinobacteria	False	False	0	1	0	0	1
Pyruvate dehydrogenase E1 component subunit alpha	sp_P60089_ODPA_STAAM	CP004025	2	8811	0	None	17	0	0.56	0.0	9.77173482324	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/CP004025/index.html	cluster-2	t1pks-nrps	MYSTI_04329	Myxococcus stipitatus DSM 14675	Proteobacteria	False	False	0	0	1	0	1
Prolyl-tRNA synthetase	DEG10180054	LOJP01000001	1	7400	0	None	9	1	-0.57	0.18	0.0	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LOJP01000001_2263386_2877710/index.html	cluster-1	t1pks	ctg1_165	Actinoplanes sp. TFC3	Actinobacteria	False	False	0	0	1	0	0
Chaperone protein HtpG	sp_P0A6Z3_HTPG_ECOLI	CM001466	1	5564	0	None	21	1	0.82	0.0	22.217882715	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CM001466_589422_1263666/index.html	cluster-2	t2pks-transatpks-t1pks-nrps	ctg1_163	Saccharomonospora azurea NA-128	Actinobacteria	False	False	0	0	0	0	1
Transcription termination factor Rho	sp_P0AG30_RHO_ECOLI	QQNE01000017	1	6252	0	None	7	1	0.09	0.87	2.20028872008	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/QQNE01000017/index.html	cluster-1	t1pks-nrps	DVB23_000996	Verrucomicrobia bacterium (freshwater metagenome)	Verrucomicrobia	False	False	0	0	1	0	0
UDP-N-acetylenolpyruvoylglucosamine reductase MurB	sp_P08373_MURB_ECOLI	KB892746	2	2055	0	None	4	1	0.4	0.6	5.54919908465	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/KB892746/index.html	cluster-1	t1pks-otherks	ctg1_196	Actinopolymorpha alba DSM 45243	Actinobacteria	False	False	1	0	1	0	0
50S ribosomal protein L18	DEG10180495	QIKP01000058	1	4688	0	None	1	1	-1000.0	-1000.0	0.0	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/QIKP01000058/index.html	cluster-1	t1pks	ctg1_37	Planctomycetaceae bacterium (hydrothermal vent metagenome)	Planctomycetes	False	False	1	0	0	0	0
Glutamyl-tRNA synthetase	DEG10180366	AP012057	1	7344	0	None	11	1	0.01	0.99	6.11683728158	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/AP012057/index.html	cluster-1	t1pks-otherks	YM304_13330	Ilumatobacter coccineus YM16-304	Actinobacteria	False	False	0	0	1	0	0
50S ribosomal protein L10	DEG10180569	DLRI01000285	2	1047	0	None	2	1	-1000.0	-1000.0	0.0	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/DLRI01000285/index.html	cluster-1	t1pks-PUFA-otherks	ctg1_3	Deltaproteobacteria bacterium UBA7892 (marine metagenome)	Proteobacteria	False	False	1	0	1	0	0
1,4-dihydroxy-2-naphthoyl-CoA synthase	sp_P0ABU0_MENB_ECOLI	CP025990	2	9791	0	None	8	2	0.37	0.47	10.3600568223	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP025990_0_822236/index.html	cluster-2	t1pks	ctg1_121	Actinoalloteichus sp. AHMU CJ021	Actinobacteria	False	False	0	0	1	1	0
Acetylornithine/succinyldiaminopimelate aminotransferase	sp_P18335_ARGD_ECOLI	CP022927	3	5448	15	[u'JAGZ01000001', u'LQOK01000037', u'LQPF01000100', u'LQPJ01000141', u'LZKE01000216', u'LZKS01000106', u'LZLE01000041', u'LZLX01000136', u'MBEU01000059', u'MIHB01000001', u'MVIK01000003', u'NAVI01000034', u'NCXP01000008', u'NZ_UPHU01000001', u'PEDE01000109']	56	5	0.63	0.0	12.3277272234	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP022927_2320638_2628097/index.html	cluster-1	t3pks-t1pks	ctg1_122	Mycobacterium shigaense	Actinobacteria	False	False	0	1	0	1	1
D-alanine-D-alanine ligase B	sp_P07862_DDLB_ECOLI	LGCW01000241	2	4633	0	None	7	1	-0.6	0.4	0.0	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LGCW01000241/index.html	cluster-1	t1pks	ADK86_19320	Streptomyces sp. NRRL F-5755	Actinobacteria	False	False	1	0	1	0	0
30S ribosomal protein S20	DEG10180004	BFAB01000003	2	7333	7	[u'JAGZ01000003', u'LZLQ01000015', u'LZLS01000197', u'LZLV01000004', u'LZSE01000029', u'LZSZ01000063', u'NKRI01000002']	8	1	0.22	0.27	2.96203830369	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/BFAB01000003/index.html	cluster-2	t1pks-nrps	MFM001_14830	Mycobacterium sp. MFM001	Actinobacteria	False	False	0	1	1	0	0
Transcriptional regulatory protein WalR	sp_Q9RDT5_WALR_STAAU	BDUC01000005	0	6458	0	None	72	1	0.39	0.0	7.58916522075	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/BDUC01000005/index.html	cluster-2	t1pks-otherks	NIES4075_44120	Tolypothrix sp. NIES-4075	Cyanobacteria	False	False	0	0	0	0	0
Acetylornithine/succinyldiaminopimelate aminotransferase	sp_P18335_ARGD_ECOLI	MVIK01000003	2	5313	17	[u'CP008963', u'CP022927', u'JAGZ01000001', u'KK338939', u'LQOK01000037', u'LQPF01000100', u'LQPJ01000141', u'LZKE01000216', u'LZKS01000106', u'LZLE01000041', u'LZLX01000136', u'MBEU01000059', u'MIHB01000001', u'NAVI01000034', u'NCXP01000008', u'NZ_UPHU01000001', u'PEDE01000109']	56	1	0.63	0.0	13.5930106388	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/MVIK01000003/index.html	cluster-2	t3pks-t1pks	BST45_02260	Mycobacterium shinjukuense	Actinobacteria	False	False	0	1	0	0	1
ATP-dependent Clp protease ATP-binding subunit ClpX	sp_P0A6H1_CLPX_ECOLI	CP003078	2	7417	2	[u'CVTA01000003', u'OESG01000011']	5	1	0.0	1.0	7.26002601956	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP003078_3751545_4512844/index.html	cluster-1	t1pks	ctg1_429	Mycobacterium sp. JS623	Actinobacteria	False	False	0	1	1	0	0
Pyruvate dehydrogenase E1 component subunit alpha	sp_P60089_ODPA_STAAM	CP029465	4	8574	1	[u'CP025939']	17	2	0.56	0.0	9.45582609094	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP029465_1444742_2126365/index.html	cluster-1	transatpks	ctg1_163	Bacillus subtilis subsp. inaquosorum	Firmicutes	False	False	0	1	1	1	1
Inosine-5'-monophosphate dehydrogenase	sp_P0ADG7_IMDH_ECOLI	LQOR01000031	2	3445	0	None	8	1	0.8	0.2	2.88682652414	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LQOR01000031/index.html	cluster-1	t1pks	AWC00_15350	Mycobacterium conspicuum	Actinobacteria	False	False	1	0	1	0	0
Phenylalanine-tRNA ligase beta subunit	sp_P07395_SYFB_ECOLI	LFUT01000005	1	6367	0	None	5	1	-1000.0	-1000.0	0.0	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LFUT01000005_0_197944/index.html	cluster-1	transatpks-nrps	ctg1_16	Pseudomonas chlororaphis subsp. piscium	Proteobacteria	False	False	0	0	1	0	0
Protein-export membrane protein SecG	sp_P0AG99_SECG_ECOLI	MJLZ01000036	2	6317	1	[u'LGRF01000002']	2	1	nan	nan	0.407597097738	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/MJLZ01000036/index.html	cluster-1	t1pks-nrps	BIY29_14480	Brenneria alni	Proteobacteria	False	False	0	1	1	0	0
30S ribosomal protein S14	DEG10180498	NZ_LWLC01000025	2	4641	0	None	13	0	-0.03	0.9	23.3502508402	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/NZ_LWLC01000025/index.html	cluster-1	t1pks-nrps	A6A25_RS24470	Saccharothrix sp. CB00851	Actinobacteria	False	False	1	0	1	0	0
Acetylornithine/succinyldiaminopimelate aminotransferase	sp_P18335_ARGD_ECOLI	GG657754	3	2684	0	None	56	11	0.63	0.0	14.4945871595	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/GG657754_213540_914603/index.html	cluster-2	t1pks	ctg1_121	Streptomyces himastatinicus ATCC 53653	Actinobacteria	False	False	1	0	0	1	1
UDP-3-O-acyl-N-acetylglucosamine deacetylase	sp_P0A725_LPXC_ECOLI	ABYL01000055	3	7231	8	[u'AP013062', u'CP009435', u'FNCJ01000011', u'FUZW01000002', u'LAVN01000003', u'LOWB01000076', u'MUSL01000063', u'QJSQ01000029']	15	1	0.75	0.0	9.49362041468	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/ABYL01000055/index.html	cluster-1	t1pks	BH160DRAFT_3866	Burkholderia sp. H160	Proteobacteria	False	False	0	1	1	0	1
Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex	sp_P65636_ODP2_STAAN	ASQP01000414	1	5843	0	None	6	1	1.0	nan	13.4883864591	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/ASQP01000414/index.html	cluster-1	t1pks	SPAR_32936	Streptomyces sparsogenes DSM 40356	Actinobacteria	False	False	0	0	1	0	0
Transcriptional regulatory protein WalR	sp_Q9RDT5_WALR_STAAU	NZ_AEIU01000086	0	8783	0	None	72	0	0.39	0.0	9.71784412217	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/NZ_AEIU01000086/index.html	cluster-1	t1pks-nrps	RH40_RS13985	Vibrio caribbeanicus ATCC BAA-2122	Proteobacteria	False	False	0	0	0	0	0
Protein translocase subunit SecA	sp_P10408_SECA_ECOLI	CP031320	2	829	0	None	4	1	nan	nan	0.0	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/CP031320/index.html	cluster-3	t1pks-ectoine	DVA86_30520	Streptomyces armeniacus	Actinobacteria	False	False	1	0	1	0	0
Acetylornithine/succinyldiaminopimelate aminotransferase	sp_P18335_ARGD_ECOLI	CP010519	3	40	0	None	56	2	0.63	0.0	27.1080429089	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/CP010519/index.html	cluster-2	t1pks-nrps	SLNWT_6990	Streptomyces albus	Actinobacteria	False	False	1	0	0	1	1
Elongation factor Tu 1	sp_P0CE47_EFTU1_ECOLI	NZ_JQJV01000052	2	1201	0	None	14	0	0.5	0.08	-1000.0	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/NZ_JQJV01000052/index.html	cluster-2	t1pks-nrps	EW60_RS14125	Streptomyces mirabilis	Actinobacteria	False	False	1	0	1	0	0
Transcriptional regulatory protein WalR	sp_Q9RDT5_WALR_STAAU	CP013614	1	9370	0	None	72	14	0.39	0.0	6.26899109972	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP013614_0_182680/index.html	cluster-1	t1pks-nrps	ctg1_3	Enterococcus silesiacus	Firmicutes	False	False	0	0	0	1	0
Alanine racemase	sp_P0A6B4_ALR1_ECOLI	HG428608	2	8902	0	None	16	1	0.79	0.0	8.50961267226	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/HG428608/index.html	cluster-2	transatpks-nrps	XBI1_2660045	Xenorhabdus bovienii str. Intermedium	Proteobacteria	False	False	0	0	1	0	1
Aspartyl-tRNA synthetase	DEG10180315	JWJJ01000001	4	2925	0	None	10	2	0.63	0.04	5.45401984139	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/JWJJ01000001_1428472_1589936/index.html	cluster-1	transatpks	ctg1_111	Paenibacillus polymyxa A18	Firmicutes	False	False	1	0	1	1	1
50S ribosomal protein L23	DEG10180504	CDLY01000001	1	8632	0	None	1	2	-1000.0	-1000.0	0.0	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CDLY01000001_3018077_3318322/index.html	cluster-1	transatpks	ctg1_120	Ralstonia solanacearum	Proteobacteria	False	False	0	0	0	1	0
Beta-lactamase (Fragment)	tr_A0A3G5FN01_A0A3G5FN01_ECOLX	FMDF01000134	2	3195	0	None	19	1	-0.08	0.71	5.01678243204	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/FMDF01000134/index.html	cluster-1	t1pks-nrps	GA0115254_116117	Streptomyces sp. Ncost-T10-10d	Actinobacteria	False	False	1	0	1	0	0
